run	leg	profile	case	parts	p50_ns	p95_ns	p99_ns	mean_ns	sample_count	source_read_calls	source_read_bytes	source_version_calls	source_payload_read_calls	source_payload_read_bytes	source_max_in_flight_reads	lookup_count	output_sha256	report_sha256
probe	A1	normal	opc_casefold_eager_open	256	427742	439292	440712	428739.866667	30	-	-	-	-	-	-	0	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9	25e093b891447581a56d371510e824513a62577c6e9da2c32effeea7b1bac305
probe	A1	normal	opc_casefold_source_open	256	306146	316932	317322	308017.733333	30	9	19449	4	0	0	1	0	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9	25e093b891447581a56d371510e824513a62577c6e9da2c32effeea7b1bac305
probe	A1	normal	opc_casefold_eager_lookup	256	32290	36110	41191	32752.5	30	-	-	-	-	-	-	144	6a02c72a84e45623f8150e12608dfb3189b6bb903ffd0bce8e31ee897d14ae1f	25e093b891447581a56d371510e824513a62577c6e9da2c32effeea7b1bac305
probe	A1	normal	opc_casefold_source_lookup	256	21530	21580	21610	21513.666667	30	0	0	144	0	0	0	144	6a02c72a84e45623f8150e12608dfb3189b6bb903ffd0bce8e31ee897d14ae1f	25e093b891447581a56d371510e824513a62577c6e9da2c32effeea7b1bac305
probe	A1	normal	opc_casefold_eager_open	2048	3469661	3502346	3502985	3468592.866667	30	-	-	-	-	-	-	0	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298	25e093b891447581a56d371510e824513a62577c6e9da2c32effeea7b1bac305
probe	A1	normal	opc_casefold_source_open	2048	2491181	2517231	2538831	2495541.3	30	11	150265	4	0	0	1	0	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298	25e093b891447581a56d371510e824513a62577c6e9da2c32effeea7b1bac305
probe	A1	normal	opc_casefold_eager_lookup	2048	137851	143321	143621	138615.933333	30	-	-	-	-	-	-	144	3d124a528436b1e924dcbbd7d23040d5c258e0acf8e278113c17e447f017936a	25e093b891447581a56d371510e824513a62577c6e9da2c32effeea7b1bac305
probe	A1	normal	opc_casefold_source_lookup	2048	144336	151500	151581	145096.3	30	0	0	144	0	0	0	144	3d124a528436b1e924dcbbd7d23040d5c258e0acf8e278113c17e447f017936a	25e093b891447581a56d371510e824513a62577c6e9da2c32effeea7b1bac305
probe	A1	normal	opc_casefold_eager_open	16384	32210211	33118265	33349496	32295334.733333	30	-	-	-	-	-	-	0	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd	25e093b891447581a56d371510e824513a62577c6e9da2c32effeea7b1bac305
probe	A1	normal	opc_casefold_source_open	16384	23794764	24642428	24752998	23809123.033333	30	27	1196793	4	0	0	1	0	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd	25e093b891447581a56d371510e824513a62577c6e9da2c32effeea7b1bac305
