# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 75162389056
#
# Overhead  Command          Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                  
# ........  ...............  ....................  ........................................................................................................................................................................................................................................................................................................................................
#
    11.00%  litchi-perf-bas  litchi-perf-baseline  [.] sha2::sha256::x86_sha::compress
     9.08%  litchi-perf-bas  litchi-perf-baseline  [.] litchi_odf_common::core::stream_xml::validate_name
     6.01%  litchi-perf-bas  libc.so.6             [.] __memcmp_evex_movbe
     5.42%  litchi-perf-bas  litchi-perf-baseline  [.] litchi_odf_common::core::stream_xml::validate_start_element
     4.48%  litchi-perf-bas  litchi-perf-baseline  [.] zlib_rs::deflate::longest_match::longest_match
     4.30%  litchi-perf-bas  litchi-perf-baseline  [.] litchi_odf_common::core::stream_xml::validate_event_bytes
     3.94%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::events::attributes::IterState>::next
     3.55%  litchi-perf-bas  litchi-perf-baseline  [.] zlib_rs::deflate::algorithm::medium::deflate_medium
     3.18%  litchi-perf-bas  litchi-perf-baseline  [.] sha2::sha256::x86::digest_blocks
     3.07%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odf_common::core::binding_tracker::BindingTracker>::resolve_prefix
     2.53%  litchi-perf-bas  litchi-perf-baseline  [.] <core::hash::sip::Hasher<core::hash::sip::Sip13Rounds> as core::hash::Hasher>::write
     2.30%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::reader::Reader<litchi_odf_common::core::stream_xml::GuardedBufRead<&mut dyn std::io::BufRead>>>::read_event_impl::<&mut alloc::vec::Vec<u8>>
     2.18%  litchi-perf-bas  litchi-perf-baseline  [.] <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&litchi_odf_common::core::stream_xml::ExpandedAttributeName>
     2.12%  litchi-perf-bas  litchi-perf-baseline  [.] core::str::converts::from_utf8
     2.06%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odf_common::core::stream_xml::GuardedBufRead<&mut dyn std::io::BufRead> as quick_xml::reader::XmlSource<&mut alloc::vec::Vec<u8>>>::read_with::<quick_xml::parser::element::ElementParser>
     2.06%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odf_common::core::binding_tracker::BindingTracker>::resolve_attribute
     1.71%  litchi-perf-bas  litchi-perf-baseline  [.] <hashbrown::map::HashMap<litchi_odf_common::core::stream_xml::ExpandedAttributeName, (), std::hash::random::RandomState>>::insert
     1.59%  litchi-perf-bas  litchi-perf-baseline  [.] litchi_odf_common::core::stream_xml::scan_xml::<&mut dyn std::io::BufRead, &mut litchi_odf_common::core::source_publication::scan_content_reader<<litchi_odp::package::source_append::SourceBackedTailAppendEdit>::plan::{closure#3}>::{closure#0}>
     1.41%  litchi-perf-bas  litchi-perf-baseline  [.] crc32fast::specialized::pclmulqdq::calculate
     1.30%  litchi-perf-bas  litchi-perf-baseline  [.] <memchr::arch::x86_64::avx2::memchr::One>::find_raw
     1.30%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odf_common::core::stream_xml::GuardedBufRead<&mut dyn std::io::BufRead> as std::io::BufRead>::fill_buf
     1.30%  litchi-perf-bas  litchi-perf-baseline  [.] memchr::arch::x86_64::memchr::memchr3_raw::find_avx2
     1.30%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::events::attributes::IterState>::check_for_duplicates
     1.12%  litchi-perf-bas  litchi-perf-baseline  [.] zlib_rs::inflate::inflate_fast_help_avx2
     1.12%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::events::attributes::Attributes as core::iter::traits::iterator::Iterator>::next
     0.94%  litchi-perf-bas  litchi-perf-baseline  [.] litchi_odf_common::core::stream_xml::validate_qname
     0.94%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odf_common::core::binding_tracker::BindingTracker>::push_scanned
     0.94%  litchi-perf-bas  litchi-perf-baseline  [.] litchi_odf_common::core::stream_xml::scan_xml::<&mut dyn std::io::BufRead, &mut litchi_odf_common::core::source_publication::scan_content_reader<litchi_odp::package::source_append::scan_source::{closure#0}>::{closure#0}>
