% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 76.80    0.009837           0     15415           statx
 19.32    0.002475           0      2691           write
  1.24    0.000159           0       264           pread64
  1.24    0.000159           6        23           openat
  1.04    0.000133           1        79           read
  0.23    0.000030           1        22           close
  0.07    0.000009           1         9           fstat
  0.05    0.000007           3         2           lseek
------ ----------- ----------- --------- --------- ----------------
100.00    0.012809           0     18505           total
