% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
100.00    0.002082           0      2691           write
  0.00    0.000000           0        79           read
  0.00    0.000000           0        21           close
  0.00    0.000000           0         9           fstat
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         6           pread64
  0.00    0.000000           0        22           openat
  0.00    0.000000           0        12           statx
------ ----------- ----------- --------- --------- ----------------
100.00    0.002082           0      2842           total
