case,profile,repeat,p50_ms,p95_ms,p99_ms,operation_heap_increment_bytes,allocated_bytes,allocation_calls,normal_process_max_rss_bytes,source_MiB_per_s,authored_MiB_per_s
s131072-a64-short-c64,deterministic,1,476.437788,478.519922,478.97277643,989190.0,4069827.0,822.0,75509760,0.6884466016817601,0.019984738020819896
s131072-a64-short-c64,deterministic,2,478.2413815,481.05408755,482.97974179000005,989190.0,4069827.0,822.0,75460608,0.6858502661899966,0.01990936967055091
s131072-a64-short-c64,file_store,1,476.3480725,480.371828,481.28390186,795761.0,3296561.0,823.0,83427328,0.6885764527700391,0.019988507434416596
s131072-a64-short-c64,file_store,2,474.9701215,478.29789235,479.73866602,795761.0,3296561.0,823.0,83419136,0.6905739143827667,0.020046491230021786
s131072-a64-short-c64,memory_store,1,478.798779,481.1078145,481.26356601,9184134.0,11684139.0,819.0,82149376,0.685051837806123,0.01988619229987158
s131072-a64-short-c64,memory_store,2,479.431783,482.54575555,483.43447425,9184134.0,11684139.0,819.0,81911808,0.6841473361224046,0.019859935754855097
s64-a16384-short-c64,deterministic,1,118.78291,119.84539205,120.0330393,989190.0,12425667.0,131382.0,17760256,0.01690847761578394,20.520629426444746
s64-a16384-short-c64,deterministic,2,116.986267,117.63907345,117.79860081999999,989190.0,12425667.0,131382.0,17707008,0.017168152825600476,20.835778955158386
s64-a16384-short-c64,file_store,1,96.7111335,97.30197855,97.5036769,795759.0,11652393.0,131383.0,20500480,0.02076739570497169,25.203926757796754
s64-a16384-short-c64,file_store,2,97.0780705,97.719898,97.85324331,795759.0,11652393.0,131383.0,20606976,0.020688896068175155,25.10865727266531
s64-a16384-short-c64,memory_store,1,90.297136,90.69152005,90.90536540000001,9184134.0,20039979.0,131379.0,20480000,0.02224254501693748,26.9942116709262
s64-a16384-short-c64,memory_store,2,90.194065,90.7822695,91.09405851999999,9184134.0,20039979.0,131379.0,20496384,0.022267963090018147,27.025059797544987
s64-a256-short-c64,deterministic,1,2.181988,2.2073525,2.21722521,989190.0,4168131.0,2358.0,6701056,0.9204635863523545,17.45471689675576
s64-a256-short-c64,deterministic,2,2.1796735,2.19858955,2.2270238900000003,989190.0,4168131.0,2358.0,6668288,0.9214399541388785,17.473231722929846
s64-a256-short-c64,file_store,1,5.1939105,5.3268545,5.3442707,795755.0,3394841.0,2359.0,6549504,0.38669102302641367,7.332807547760142
s64-a256-short-c64,file_store,2,5.0675855,5.30378695,5.45177782,795755.0,3394841.0,2359.0,6782976,0.3963308405966047,7.515607051313394
s64-a256-short-c64,memory_store,1,1.7470915,1.7579395,1.7608328,9184134.0,11782443.0,2355.0,6938624,1.1495897411997245,21.79962768497255
s64-a256-short-c64,memory_store,2,1.7377415,1.7541515,1.7618724,9184134.0,11782443.0,2355.0,6959104,1.1557749731548275,21.916918009454502
s64-a4096-short-c64,deterministic,1,29.2075005,29.435877,29.47762681,989190.0,6134211.0,33078.0,8667136,0.06876446438447603,20.863647860652875
s64-a4096-short-c64,deterministic,2,29.302937,29.69469195,29.78149341,989190.0,6134211.0,33078.0,8564736,0.0685405054400244,20.795697057951102
s64-a4096-short-c64,file_store,1,28.346436,29.378818149999997,30.30235454,795757.0,5360929.0,33079.0,9625600,0.07085332137992906,21.49742254608811
s64-a4096-short-c64,file_store,2,28.114718,28.67561805,32.411734900000006,795757.0,5360929.0,33079.0,9334784,0.07143724903381932,21.674590521668442
s64-a4096-short-c64,memory_store,1,22.722831,22.94597505,22.97968499,9184134.0,13748523.0,33075.0,9687040,0.08838855147931349,26.81774124883467
s64-a4096-short-c64,memory_store,2,22.764242,23.04822705,23.1580805,9184134.0,13748523.0,33075.0,9252864,0.08822776358118617,26.768957009521372
