% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.80    1.258511           0   1475055           statx
  0.17    0.002199           0      2691           write
  0.01    0.000114           1        79           read
  0.01    0.000097           4        23           openat
  0.00    0.000056           0       114           pread64
  0.00    0.000033           1        22           close
  0.00    0.000010           1         9           fstat
  0.00    0.000000           0         2           lseek
------ ----------- ----------- --------- --------- ----------------
100.00    1.261020           0   1477995           total
