% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 78.44    0.000604           0      2691           write
 13.25    0.000102           4        22           openat
  2.73    0.000021           2         9           fstat
  2.21    0.000017           0        79           read
  1.43    0.000011           0        21           close
  1.17    0.000009           4         2           lseek
  0.78    0.000006           1         6           pread64
  0.00    0.000000           0        12           statx
------ ----------- ----------- --------- --------- ----------------
100.00    0.000770           0      2842           total
