% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.93    0.002724           0      3205           write
  0.07    0.000002           0        27           close
  0.00    0.000000           0        79           read
  0.00    0.000000           0         9           fstat
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0        24           pread64
  0.00    0.000000           0         3           fdatasync
  0.00    0.000000           0         3           unlink
  0.00    0.000000           0        28           openat
  0.00    0.000000           0        94         3 statx
------ ----------- ----------- --------- --------- ----------------
100.00    0.002726           0      3474         3 total
