% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 77.31    0.202653           1    108991           write
 11.16    0.029268         153       191           brk
  3.81    0.009984         277        36           munmap
  2.74    0.007193           0      7617           statx
  2.22    0.005812           0      7264           read
  2.00    0.005237           1      2641           pread64
  0.31    0.000825         825         1           unlink
  0.28    0.000743         371         2           fsync
  0.09    0.000225           0       549           futex
  0.02    0.000062           1        53           mmap
  0.02    0.000048           3        15           openat
  0.01    0.000025           1        15           close
  0.01    0.000024          24         1           mkdir
  0.01    0.000018          18         1           rmdir
  0.01    0.000018           9         2           readlink
  0.00    0.000009           0        11           mremap
  0.00    0.000002           0         3           sigaltstack
  0.00    0.000000           0         5           fstat
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         6           mprotect
  0.00    0.000000           0         5           rt_sigaction
  0.00    0.000000           0         2           rt_sigprocmask
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           getpid
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           gettid
  0.00    0.000000           0         1           sched_getaffinity
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         2           prlimit64
  0.00    0.000000           0         2           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.262146           2    127427         1 total
