% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 40.20    0.012790          66       192           brk
 23.44    0.007458           1      7264           read
 20.28    0.006454         174        37           munmap
 15.16    0.004825           0      5280           write
  0.61    0.000193           0       549           futex
  0.15    0.000049          49         1           fsync
  0.08    0.000025           0        54           mmap
  0.05    0.000015           1        11           mremap
  0.01    0.000004           0         7           close
  0.01    0.000003           1         2           readlink
  0.01    0.000002           0         3           sigaltstack
  0.00    0.000001           0         7           openat
  0.00    0.000000           0         5           fstat
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         6           mprotect
  0.00    0.000000           0         5           rt_sigaction
  0.00    0.000000           0         2           rt_sigprocmask
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           gettid
  0.00    0.000000           0         1           sched_getaffinity
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         2           prlimit64
  0.00    0.000000           0         2           getrandom
  0.00    0.000000           0         1           statx
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.031819           2     13443         1 total
