% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 44.05    0.013284          94       140           brk
 23.78    0.007171           0      7306           read
 20.15    0.006078           1      5790           write
 11.24    0.003390         109        31           munmap
  0.32    0.000098           0       371           futex
  0.17    0.000052          52         1           fsync
  0.08    0.000025          12         2           readlink
  0.08    0.000023           0        48           mmap
  0.05    0.000015           2         7           close
  0.04    0.000012           1         7           openat
  0.02    0.000007           7         1           statx
  0.01    0.000003           0        11           mremap
  0.00    0.000001           0         3           sigaltstack
  0.00    0.000000           0         5           fstat
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         6           mprotect
  0.00    0.000000           0         5           rt_sigaction
  0.00    0.000000           0         2           rt_sigprocmask
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           gettid
  0.00    0.000000           0         1           sched_getaffinity
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         2           prlimit64
  0.00    0.000000           0         2           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.030159           2     13753         1 total
