% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 99.04    1.622936           1   1401402           write
  0.34    0.005634          47       118           brk
  0.33    0.005437           0      7306           read
  0.25    0.004037         134        30           munmap
  0.02    0.000329         329         1           fsync
  0.01    0.000113           0       371           futex
  0.00    0.000037          18         2           readlink
  0.00    0.000036           0        47           mmap
  0.00    0.000026           3         7           openat
  0.00    0.000017           1        11           mremap
  0.00    0.000010           5         2           lseek
  0.00    0.000009           1         7           close
  0.00    0.000007           7         1           statx
  0.00    0.000006           1         6           mprotect
  0.00    0.000005           1         5           rt_sigaction
  0.00    0.000004           1         3           sigaltstack
  0.00    0.000003           3         1           poll
  0.00    0.000003           1         2           prlimit64
  0.00    0.000003           1         2           getrandom
  0.00    0.000002           0         5           fstat
  0.00    0.000002           1         2           rt_sigprocmask
  0.00    0.000002           2         1           sched_getaffinity
  0.00    0.000001           1         1           gettid
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    1.638659           1   1409341         1 total
