% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 98.60    1.610347           1   1398762           write
  0.69    0.011322          83       136           brk
  0.38    0.006236           0      7306           read
  0.29    0.004749         153        31           munmap
  0.02    0.000336         336         1           fsync
  0.01    0.000134           0       371           futex
  0.00    0.000029           0        48           mmap
  0.00    0.000021          10         2           readlink
  0.00    0.000013           1        11           mremap
  0.00    0.000005           0         7           close
  0.00    0.000005           5         1           statx
  0.00    0.000004           0         7           openat
  0.00    0.000002           0         3           sigaltstack
  0.00    0.000000           0         5           fstat
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         6           mprotect
  0.00    0.000000           0         5           rt_sigaction
  0.00    0.000000           0         2           rt_sigprocmask
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           gettid
  0.00    0.000000           0         1           sched_getaffinity
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         2           prlimit64
  0.00    0.000000           0         2           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    1.633203           1   1406721         1 total
