kind=helper_guardrail version=1 samples=50
raw,order,length,pattern,variant,iterations,min_ns,p50_ns,p95_ns,max_ns,checksum
raw,forward,49,ascii_no_cr,scalar,4096,24,24,26,27,1
raw,forward,49,ascii_no_cr,memchr_iter,4096,6,6,6,8,1
raw,forward,49,ascii_no_cr,memmem_iter,4096,21,21,22,23,1
raw,forward,49,ascii_no_cr,first_cr_then_scalar,4096,6,6,6,10,1
raw,forward,49,sparse_crlf,scalar,4096,24,24,26,27,1
raw,forward,49,sparse_crlf,memchr_iter,4096,6,6,6,8,1
raw,forward,49,sparse_crlf,memmem_iter,4096,21,21,22,24,1
raw,forward,49,sparse_crlf,first_cr_then_scalar,4096,6,6,6,8,1
raw,forward,49,dense_crlf,scalar,4096,15,15,15,17,1
raw,forward,49,dense_crlf,memchr_iter,4096,74,74,76,76,1
raw,forward,49,dense_crlf,memmem_iter,4096,122,124,124,125,1
raw,forward,49,dense_crlf,first_cr_then_scalar,4096,20,20,22,22,1
raw,forward,49,all_cr,scalar,4096,34,34,36,36,1
raw,forward,49,all_cr,memchr_iter,4096,145,147,147,148,1
raw,forward,49,all_cr,memmem_iter,4096,21,21,22,22,1
raw,forward,49,all_cr,first_cr_then_scalar,4096,29,29,30,34,1
raw,forward,49,unicode,scalar,4096,39,39,40,40,1
raw,forward,49,unicode,memchr_iter,4096,21,21,22,22,1
raw,forward,49,unicode,memmem_iter,4096,31,31,32,32,1
raw,forward,49,unicode,first_cr_then_scalar,4096,20,20,22,22,1
raw,forward,1024,ascii_no_cr,scalar,512,476,479,490,493,1
raw,forward,1024,ascii_no_cr,memchr_iter,512,23,23,23,34,1
raw,forward,1024,ascii_no_cr,memmem_iter,512,40,40,40,52,1
raw,forward,1024,ascii_no_cr,first_cr_then_scalar,512,23,23,23,33,1
raw,forward,1024,sparse_crlf,scalar,512,543,546,650,664,1
raw,forward,1024,sparse_crlf,memchr_iter,512,65,65,65,76,1
raw,forward,1024,sparse_crlf,memmem_iter,512,84,84,85,95,1
raw,forward,1024,sparse_crlf,first_cr_then_scalar,512,540,541,555,578,1
raw,forward,1024,dense_crlf,scalar,512,288,289,363,363,1
raw,forward,1024,dense_crlf,memchr_iter,512,1782,1795,1800,1801,1
raw,forward,1024,dense_crlf,memmem_iter,512,2319,2330,2340,2342,1
raw,forward,1024,dense_crlf,first_cr_then_scalar,512,296,296,306,308,1
raw,forward,1024,all_cr,scalar,512,499,499,510,511,1
raw,forward,1024,all_cr,memchr_iter,512,3535,3546,3554,3561,1
raw,forward,1024,all_cr,memmem_iter,512,40,40,40,50,1
raw,forward,1024,all_cr,first_cr_then_scalar,512,504,504,515,520,1
raw,forward,1024,unicode,scalar,512,1041,1051,1053,1053,1
raw,forward,1024,unicode,memchr_iter,512,583,584,594,596,1
raw,forward,1024,unicode,memmem_iter,512,604,604,616,620,1
raw,forward,1024,unicode,first_cr_then_scalar,512,583,584,594,595,1
raw,forward,65536,ascii_no_cr,scalar,16,29833,29989,30234,30928,1
raw,forward,65536,ascii_no_cr,memchr_iter,16,1242,1250,1253,1679,1
raw,forward,65536,ascii_no_cr,memmem_iter,16,1540,1543,1548,1858,1
raw,forward,65536,ascii_no_cr,first_cr_then_scalar,16,1255,1256,1261,1601,1
raw,forward,65536,sparse_crlf,scalar,16,34423,34756,34909,34988,1
