% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 54.09    0.007264           0      7630           statx
 29.17    0.003917           0      3934           pread64
 15.69    0.002107         162        13           read
  0.65    0.000087          29         3           write
  0.24    0.000032           0        44        13 openat
  0.10    0.000013           0        31           close
  0.05    0.000007           3         2           lseek
  0.01    0.000002           0        21           fstat
  0.00    0.000000           0         1           fdatasync
------ ----------- ----------- --------- --------- ----------------
100.00    0.013429           1     11679        13 total
