% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 52.24    0.006124           0      7630           statx
 28.03    0.003286           0      3934           pread64
 19.31    0.002264         174        13           read
  0.22    0.000026           8         3           write
  0.10    0.000012           0        44        13 openat
  0.09    0.000011           0        31           close
  0.00    0.000000           0        21           fstat
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         1           fdatasync
------ ----------- ----------- --------- --------- ----------------
100.00    0.011723           1     11679        13 total
