% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.19    0.002462         189        13           read
  0.52    0.000013           4         3           write
  0.12    0.000003           0        38        13 openat
  0.08    0.000002           0        25           close
  0.08    0.000002           0         4           statx
  0.00    0.000000           0        21           fstat
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         1           fdatasync
------ ----------- ----------- --------- --------- ----------------
100.00    0.002482          22       111        13 total
