% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 41.87    0.005500           0      5530           pread64
 40.61    0.005334           0      5584           statx
 16.92    0.002222         170        13           read
  0.31    0.000041           0        44        13 openat
  0.15    0.000020           0        31           close
  0.14    0.000019           0        21           fstat
  0.00    0.000000           0         3           write
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         1           fdatasync
------ ----------- ----------- --------- --------- ----------------
100.00    0.013136           1     11229        13 total
