% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 85.75    0.001872         144        13           read
  7.05    0.000154          51         3           write
  4.35    0.000095           2        38        13 openat
  1.15    0.000025           1        25           close
  1.01    0.000022           1        21           fstat
  0.32    0.000007           3         2           lseek
  0.18    0.000004           1         4           pread64
  0.14    0.000003           0         4           statx
  0.05    0.000001           1         1           fdatasync
------ ----------- ----------- --------- --------- ----------------
100.00    0.002183          19       111        13 total
