% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 98.90    0.002066         172        12           read
  0.77    0.000016           5         3           write
  0.19    0.000004           0        25           close
  0.10    0.000002           0        38        13 openat
  0.05    0.000001           0         4           statx
  0.00    0.000000           0        21           fstat
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         1           fdatasync
------ ----------- ----------- --------- --------- ----------------
100.00    0.002089          18       110        13 total
