% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 39.40    0.004223           0      5530           pread64
 37.71    0.004042           0      5584           statx
 22.60    0.002422         186        13           read
  0.18    0.000019           6         3           write
  0.06    0.000006           0        31           close
  0.06    0.000006           0        44        13 openat
  0.00    0.000000           0        21           fstat
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         1           fdatasync
------ ----------- ----------- --------- --------- ----------------
100.00    0.010718           0     11229        13 total
