% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 36.28    0.002521         193        13           read
 30.40    0.002112           0      3934           pread64
 29.50    0.002050           0      3898           statx
  2.79    0.000194          64         3           write
  0.60    0.000042           0        44        13 openat
  0.22    0.000015           0        31           close
  0.12    0.000008           4         2           lseek
  0.07    0.000005           0        21           fstat
  0.01    0.000001           1         1           fdatasync
------ ----------- ----------- --------- --------- ----------------
100.00    0.006948           0      7947        13 total
