% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 94.53    0.002331         179        13           read
  3.93    0.000097          32         3           write
  0.77    0.000019           0        38        13 openat
  0.32    0.000008           4         2           lseek
  0.20    0.000005           0        25           close
  0.12    0.000003           0         4           statx
  0.08    0.000002           2         1           fdatasync
  0.04    0.000001           0        21           fstat
  0.00    0.000000           0         4           pread64
------ ----------- ----------- --------- --------- ----------------
100.00    0.002466          22       111        13 total
