axis,axis_value,path,phase,archive_bytes,region_peak_bytes,allocations,retained_bytes,output_bytes,output_fnv1a64
count,0,B_source_backed,open,99008,140086,1060,25425,0,0
count,0,B_source_backed,save_and_drop,99008,88841,34,-25425,99008,54d9f6ac63820ac6
count,0,A_package_writer,open,99008,656793,1764,514974,0,0
count,0,A_package_writer,save,99008,95034,433,4136,99008,54d9f6ac63820ac6
count,0,A_package_writer,drop,99008,0,0,-519110,0,0
count,20,B_source_backed,open,184119,148430,1602,40685,0,0
count,20,B_source_backed,save_and_drop,184119,88841,54,-40685,184119,42b55eed9b8b5e1f
count,20,A_package_writer,open,184119,868960,2737,695545,0,0
count,20,A_package_writer,save,184119,109498,595,4136,184119,42b55eed9b8b5e1f
count,20,A_package_writer,drop,184119,0,0,-699681,0,0
count,100,B_source_backed,open,524512,275332,3763,109085,0,0
count,100,B_source_backed,save_and_drop,524512,88841,134,-109085,524512,146c7b8cb35bba61
count,100,A_package_writer,open,524512,1721737,6622,1426098,0,0
count,100,A_package_writer,save,524512,181050,1238,4136,524512,146c7b8cb35bba61
count,100,A_package_writer,drop,524512,0,0,-1430234,0,0
count,500,B_source_backed,open,2226536,1076916,14566,429005,0,0
count,500,B_source_backed,save_and_drop,2226536,88841,534,-429005,2226536,752e35d946e105da
count,500,A_package_writer,open,2226536,5934136,26035,5053962,0,0
count,500,A_package_writer,save,2226536,522298,4443,4136,2226536,752e35d946e105da
count,500,A_package_writer,drop,2226536,0,0,-5058098,0,0
count,2000,B_source_backed,open,8608935,4077576,55068,1650785,0,0
count,2000,B_source_backed,save_and_drop,8608935,88841,2034,-1650785,8608935,0b518619c5c2d44f
count,2000,A_package_writer,open,8608935,21759455,98816,18683221,0,0
count,2000,A_package_writer,save,8608935,1818490,16448,4136,8608935,0b518619c5c2d44f
count,2000,A_package_writer,drop,8608935,0,0,-18687357,0,0
count,8000,B_source_backed,open,34138114,16080216,217071,6602065,0,0
count,8000,B_source_backed,save_and_drop,34138114,88841,8034,-6602065,34138114,c22c4bfbd268db54
count,8000,A_package_writer,open,34138114,85060314,389935,73199840,0,0
count,8000,A_package_writer,save,34138114,7003258,64452,4136,34138114,c22c4bfbd268db54
count,8000,A_package_writer,drop,34138114,0,0,-73203976,0,0
