axis,axis_value,path,phase,archive_bytes,region_peak_bytes,allocations,retained_bytes,output_bytes,output_fnv1a64
real,ArtisticEffectSample.pptx,B_source_backed,open,972788,204793,2393,67479,0,0
real,ArtisticEffectSample.pptx,B_source_backed,save_and_drop,972788,65536,1,-67479,972788,f1c4726dd99fa127
real,ArtisticEffectSample.pptx,A_package_writer,open,972788,2567641,3953,2355882,0,0
real,ArtisticEffectSample.pptx,A_package_writer,save,972788,0,0,0,972788,f1c4726dd99fa127
real,saut_page.docx,B_source_backed,open,2959626,144622,1266,33148,0,0
real,saut_page.docx,B_source_backed,save_and_drop,2959626,65536,1,-33148,2959626,40a15ed9a6fdb46a
real,saut_page.docx,A_package_writer,open,2959626,8508202,2420,8352590,0,0
real,saut_page.docx,A_package_writer,save,2959626,0,0,0,2959626,40a15ed9a6fdb46a
real,no_drawing_patriarch.xlsx,B_source_backed,open,672414,136118,518,11545,0,0
real,no_drawing_patriarch.xlsx,B_source_backed,save_and_drop,672414,65536,1,-11545,672414,03c96e8965966817
real,no_drawing_patriarch.xlsx,A_package_writer,open,672414,7634913,898,7525438,0,0
real,no_drawing_patriarch.xlsx,A_package_writer,save,672414,0,0,0,672414,03c96e8965966817
real,ConditionalFormattingSamples.xlsx,B_source_backed,open,654688,358129,5531,150848,0,0
real,ConditionalFormattingSamples.xlsx,B_source_backed,save_and_drop,654688,65536,1,-150848,654688,8ce2aee0ba15e0b6
real,ConditionalFormattingSamples.xlsx,A_package_writer,open,654688,2178868,9104,1836295,0,0
real,ConditionalFormattingSamples.xlsx,A_package_writer,save,654688,0,0,0,654688,8ce2aee0ba15e0b6
real,EmbeddedVideo.pptx,B_source_backed,open,201418,149846,1653,44887,0,0
real,EmbeddedVideo.pptx,B_source_backed,save_and_drop,201418,65536,1,-44887,201418,1b2e44a5e33ca824
real,EmbeddedVideo.pptx,A_package_writer,open,201418,653491,2639,504504,0,0
real,EmbeddedVideo.pptx,A_package_writer,save,201418,0,0,0,201418,1b2e44a5e33ca824
real,drawing.docx,B_source_backed,open,95247,139800,1034,24846,0,0
real,drawing.docx,B_source_backed,save_and_drop,95247,65536,1,-24846,95247,29aa9813cd473c81
real,drawing.docx,A_package_writer,open,95247,647089,1716,506648,0,0
real,drawing.docx,A_package_writer,save,95247,0,0,0,95247,29aa9813cd473c81
