media_bytes,path,archive_bytes,region_peak_bytes,allocations,output_bytes,output_fnv1a64
65536,B_source_backed,164712,532626,1167,164712,4778955ffbd36738
65536,A_package_writer,164712,1161217,2269,164712,4778955ffbd36738
1048576,B_source_backed,1148053,532626,1167,1148053,c7b9d54f9027cede
1048576,A_package_writer,1148053,3127598,2389,1148053,c7b9d54f9027cede
4194304,B_source_backed,4294743,532626,1167,4294743,cc84c8b54dfb8b1f
4194304,A_package_writer,4294743,9420016,2773,4294743,cc84c8b54dfb8b1f
16777216,B_source_backed,16881495,532626,1167,16881495,de13ce9c3bb4c8a6
16777216,A_package_writer,16881495,34589680,4309,16881495,de13ce9c3bb4c8a6
67108864,B_source_backed,67228503,532626,1167,67228503,395c924099cdf4b8
67108864,A_package_writer,67228503,135268336,10455,67228503,395c924099cdf4b8
