% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 80.61    0.001397         116        12           read
  9.81    0.000170          17        10           munmap
  5.60    0.000097           0       111           brk
  3.52    0.000061          61         1           unlink
  0.17    0.000003           1         3           write
  0.17    0.000003           0        44           mmap
  0.06    0.000001           0        27           close
  0.06    0.000001           0         3           sigaltstack
  0.00    0.000000           0        21           fstat
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         8           mprotect
  0.00    0.000000           0         5           rt_sigaction
  0.00    0.000000           0         2           rt_sigprocmask
  0.00    0.000000           0        88           pread64
  0.00    0.000000           0         2         2 access
  0.00    0.000000           0         1           getpid
  0.00    0.000000           0         2           execve
  0.00    0.000000           0         1           fdatasync
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         6         5 readlink
  0.00    0.000000           0         1           chmod
  0.00    0.000000           0         2           arch_prctl
  0.00    0.000000           0         1           gettid
  0.00    0.000000           0         1           futex
  0.00    0.000000           0         1           sched_setaffinity
  0.00    0.000000           0         2           sched_getaffinity
  0.00    0.000000           0         2           set_tid_address
  0.00    0.000000           0        40        13 openat
  0.00    0.000000           0         2           set_robust_list
  0.00    0.000000           0         3           prlimit64
  0.00    0.000000           0         3           getrandom
  0.00    0.000000           0        76           statx
  0.00    0.000000           0         2           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.001733           3       487        20 total
