% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 75.30    0.002189         182        12           read
  5.54    0.000161          53         3           write
  4.68    0.000136          68         2           execve
  4.58    0.000133          13        10           munmap
  2.24    0.000065           1        44           mmap
  1.58    0.000046           1        40        13 openat
  1.10    0.000032           0       111           brk
  0.76    0.000022          22         1           sched_setaffinity
  0.69    0.000020           0        27           close
  0.62    0.000018           2         8           mprotect
  0.45    0.000013           0        21           fstat
  0.41    0.000012          12         1           unlink
  0.34    0.000010           5         2           lseek
  0.34    0.000010           1         6         5 readlink
  0.21    0.000006           1         5           rt_sigaction
  0.14    0.000004           0        64           statx
  0.10    0.000003           3         1           chmod
  0.10    0.000003           1         3           sigaltstack
  0.10    0.000003           1         2           sched_getaffinity
  0.07    0.000002           1         2           rt_sigprocmask
  0.07    0.000002           0        84           pread64
  0.07    0.000002           2         1           getpid
  0.07    0.000002           2         1           fdatasync
  0.07    0.000002           2         1           getcwd
  0.07    0.000002           0         3           prlimit64
  0.07    0.000002           0         3           getrandom
  0.03    0.000001           1         1           poll
  0.03    0.000001           0         2         2 access
  0.03    0.000001           0         2           arch_prctl
  0.03    0.000001           1         1           gettid
  0.03    0.000001           0         2           set_tid_address
  0.03    0.000001           0         2           set_robust_list
  0.03    0.000001           0         2           rseq
  0.00    0.000000           0         1           futex
------ ----------- ----------- --------- --------- ------------------
100.00    0.002907           6       471        20 total
