% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 73.84    0.001942         161        12           read
  5.55    0.000146          73         2           execve
  5.17    0.000136          45         3           write
  3.27    0.000086           9         9           munmap
  2.24    0.000059           1        43           mmap
  1.71    0.000045           0       110           pread64
  1.60    0.000042           1        40        13 openat
  0.87    0.000023          23         1           sched_setaffinity
  0.72    0.000019          19         1           unlink
  0.68    0.000018           0        72           statx
  0.53    0.000014           1         8           mprotect
  0.53    0.000014           0        18           brk
  0.46    0.000012           3         4           mremap
  0.42    0.000011           0        27           close
  0.38    0.000010           5         2           lseek
  0.38    0.000010           1         6         5 readlink
  0.34    0.000009           0        21           fstat
  0.19    0.000005           1         5           rt_sigaction
  0.15    0.000004           2         2           sched_getaffinity
  0.11    0.000003           3         1           chmod
  0.11    0.000003           1         3           prlimit64
  0.08    0.000002           2         1           poll
  0.08    0.000002           1         2           rt_sigprocmask
  0.08    0.000002           2         1           getpid
  0.08    0.000002           2         1           getcwd
  0.08    0.000002           0         3           sigaltstack
  0.08    0.000002           0         3           getrandom
  0.04    0.000001           0         2         2 access
  0.04    0.000001           1         1           fdatasync
  0.04    0.000001           0         2           arch_prctl
  0.04    0.000001           1         1           gettid
  0.04    0.000001           0         2           set_tid_address
  0.04    0.000001           0         2           set_robust_list
  0.04    0.000001           0         2           rseq
  0.00    0.000000           0         1           futex
------ ----------- ----------- --------- --------- ------------------
100.00    0.002630           6       414        20 total
