file	bytes	snapshot	facade	word_len	table_len	data_len	text_units	paragraphs	clx_len	pieces	chpx_pages	papx_pages
test-data/libreoffice-core/embeddedobj/qa/cppunit/data/insert-file-config.doc	22016	ERR Refused(Drawing)	OK	4096	6412	0	6	1	21	1	1	1
test-data/libreoffice-core/sw/qa/core/data/ww8/fail/redline-1.doc	8319	ERR Ole(InvalidFormat("Invalid byte order"))	ERR Ole(InvalidFormat("Invalid byte order"))	0	0	0	0	0	0	0	0	0
test-data/libreoffice-core/sw/qa/core/doc/data/bookmark-delete-redline.doc	66048	ERR Refused(Drawing)	OK	30769	23283	0	15585	130	21	1	19	6
test-data/libreoffice-core/sw/qa/extras/ww8import/data/changes-in-footnote.doc	13312	ERR Refused(Revision)	OK	4157	4457	0	297	3	21	1	1	1
test-data/office-interop/libreoffice-resaved/noheadfoot-litchi.doc	10240	OK	OK	3645	2449	0	134	10	21	1	1	1
test-data/office-interop/litchi-changed/noheadfoot-litchi.doc	27648	ERR Refused(Drawing)	OK	5120	6784	4096	135	10	33	2	1	1
test-data/ole/doc/3endnotes.doc	35328	ERR Refused(Drawing)	OK	12852	10498	0	8668	38	21	1	2	2
test-data/ole/doc/DiffFirstPageHeadFoot.doc	27648	ERR Refused(Drawing)	OK	4151	7613	4096	450	27	21	1	1	2
test-data/ole/doc/FancyFoot.doc	27136	ERR Refused(Drawing)	OK	4096	7491	4096	323	22	21	1	1	1
test-data/ole/doc/FloatingPictures.doc	335360	ERR Refused(Drawing)	OK	38775	21575	255308	8915	210	45	3	7	12
test-data/ole/doc/HeaderFooterProblematic.doc	61440	ERR Refused(Drawing)	OK	45625	4096	0	15413	354	21	1	4	18
test-data/ole/doc/HeaderFooterUnicode.doc	28672	ERR Refused(Drawing)	OK	5172	7475	4096	531	34	45	3	1	2
test-data/ole/doc/Lists.doc	27648	ERR Refused(Drawing)	OK	5166	10449	0	532	40	21	1	1	3
test-data/ole/doc/NoHeadFoot.doc	26112	ERR Refused(Drawing)	OK	4096	6645	4096	180	10	21	1	1	1
test-data/ole/doc/PasswordProtected.doc	19968	ERR Refused(Encrypted)	ERR PasswordRequired	4142	4096	0	0	0	0	0	0	0
test-data/ole/doc/PngPicture.doc	14336	ERR Refused(Drawing)	OK	8103	2364	0	46	2	21	1	1	1
test-data/ole/doc/ThreeColFoot.doc	27136	ERR Refused(Drawing)	OK	4096	7389	4096	272	23	21	1	1	1
test-data/ole/doc/ThreeColHead.doc	27136	ERR Refused(Drawing)	OK	4096	7353	4096	276	21	21	1	1	1
test-data/ole/doc/ThreeColHeadFoot.doc	27136	ERR Refused(Drawing)	OK	4096	7429	4096	339	23	21	1	1	1
