operation                  shape  leg        allocations  allocated_bytes
eager_document             200    before              45             8845
eager_document             200    after               26             2558
eager_text                 200    before              64            34970
eager_text                 200    after               45            28683
eager_write_text           200    before            1870            43636
eager_write_text           200    after             1851            37349
eager_paragraph_first      200    before              45             8845
eager_paragraph_first      200    after               45             8845
eager_paragraph_repeat8    200    before              45             8845
eager_paragraph_repeat8    200    after               45             8845
eager_paragraph_count      200    before              45             8845
eager_paragraph_count      200    after               45             8845
eager_paragraphs           200    before              50            31085
eager_paragraphs           200    after               50            31085
eager_tables               200    before              55             9420
eager_tables               200    after               36             3133
source_document            200    before              45             8845
source_document            200    after               26             2558
source_text                200    before              64            34970
source_text                200    after               45            28683
source_paragraph_first     200    before              45             8845
source_paragraph_first     200    after               45             8845
source_paragraph_repeat8   200    before              45             8845
source_paragraph_repeat8   200    after               45             8845
source_paragraph_count     200    before              45             8845
source_paragraph_count     200    after               45             8845
eager_document             10000  before              51           345293
eager_document             10000  after               26             2558
eager_text                 10000  before              76          1984218
eager_text                 10000  after               51          1641483
eager_write_text           10000  before           90076          2026484
eager_write_text           10000  after            90051          1683749
eager_paragraph_first      10000  before              51           345293
eager_paragraph_first      10000  after               51           345293
eager_paragraph_repeat8    10000  before              51           345293
eager_paragraph_repeat8    10000  after               51           345293
eager_paragraph_count      10000  before              51           345293
eager_paragraph_count      10000  after               51           345293
eager_paragraphs           10000  before              62          1745581
eager_paragraphs           10000  after               62          1745581
eager_tables               10000  before              61           345868
eager_tables               10000  after               36             3133
source_document            10000  before              51           345293
source_document            10000  after               26             2558
source_text                10000  before              76          1984218
source_text                10000  after               51          1641483
source_paragraph_first     10000  before              51           345293
source_paragraph_first     10000  after               51           345293
source_paragraph_repeat8   10000  before              51           345293
source_paragraph_repeat8   10000  after               51           345293
source_paragraph_count     10000  before              51           345293
source_paragraph_count     10000  after               51           345293
