op,leg,rep,faults_first_call
eager_prepared_paragraph_count,before,1,0
eager_prepared_paragraph_count,before,2,1
eager_prepared_paragraph_count,before,3,3
eager_prepared_paragraph_count,before,4,-1
eager_prepared_paragraph_count,before,5,-1
eager_prepared_paragraph_count,before,6,1
eager_prepared_paragraph_count,before,7,1
eager_prepared_paragraph_count,before,8,0
eager_prepared_paragraph_count,before,9,-3
eager_prepared_paragraph_count,after,1,-1
eager_prepared_paragraph_count,after,2,-1
eager_prepared_paragraph_count,after,3,-1
eager_prepared_paragraph_count,after,4,-1
eager_prepared_paragraph_count,after,5,1
eager_prepared_paragraph_count,after,6,5
eager_prepared_paragraph_count,after,7,0
eager_prepared_paragraph_count,after,8,-5
eager_prepared_paragraph_count,after,9,-1
eager_prepared_paragraph_count,before,1,0
eager_prepared_paragraph_count,before,2,2
eager_prepared_paragraph_count,before,3,1
eager_prepared_paragraph_count,before,4,1
eager_prepared_paragraph_count,before,5,2
eager_prepared_paragraph_count,before,6,1
eager_prepared_paragraph_count,before,7,0
eager_prepared_paragraph_count,before,8,-1
eager_prepared_paragraph_count,before,9,1
eager_prepared_paragraph_count,after,1,3
eager_prepared_paragraph_count,after,2,4
eager_prepared_paragraph_count,after,3,-1
eager_prepared_paragraph_count,after,4,3
eager_prepared_paragraph_count,after,5,5
eager_prepared_paragraph_count,after,6,1
eager_prepared_paragraph_count,after,7,4
eager_prepared_paragraph_count,after,8,4
eager_prepared_paragraph_count,after,9,5
eager_paragraph_count,before,1,5
eager_paragraph_count,before,2,2
eager_paragraph_count,before,3,0
eager_paragraph_count,before,4,2
eager_paragraph_count,before,5,2
eager_paragraph_count,before,6,2
eager_paragraph_count,before,7,-2
eager_paragraph_count,before,8,3
eager_paragraph_count,before,9,-1
eager_paragraph_count,after,1,-5
eager_paragraph_count,after,2,4
eager_paragraph_count,after,3,-5
eager_paragraph_count,after,4,-4
eager_paragraph_count,after,5,-6
eager_paragraph_count,after,6,-1
eager_paragraph_count,after,7,-2
eager_paragraph_count,after,8,2
eager_paragraph_count,after,9,-2
eager_paragraph_count,before,1,-1
eager_paragraph_count,before,2,1
eager_paragraph_count,before,3,0
eager_paragraph_count,before,4,-1
eager_paragraph_count,before,5,3
eager_paragraph_count,before,6,-1
eager_paragraph_count,before,7,0
eager_paragraph_count,before,8,2
eager_paragraph_count,before,9,-3
eager_paragraph_count,after,1,2
eager_paragraph_count,after,2,-5
eager_paragraph_count,after,3,0
eager_paragraph_count,after,4,-3
eager_paragraph_count,after,5,0
eager_paragraph_count,after,6,1
eager_paragraph_count,after,7,-1
eager_paragraph_count,after,8,1
eager_paragraph_count,after,9,-3
