operation                  shape  leg          ir_per_op
eager_document             200    before         1330959
eager_document             200    after           422911
eager_text                 200    before         2617683
eager_text                 200    after          1707482
eager_write_text           200    before         4671362
eager_write_text           200    after          3760408
eager_paragraph_first      200    before         1330712
eager_paragraph_first      200    after          1322319
eager_paragraph_repeat8    200    before         1331340
eager_paragraph_repeat8    200    after          1323044
eager_paragraph_count      200    before         1330737
eager_paragraph_count      200    after          1322325
eager_tables               200    before         2625176
eager_tables               200    after          1702733
source_document            200    before         1331760
source_document            200    after           423942
source_text                200    before         2618049
source_text                200    after          1708732
source_paragraph_first     200    before         1332025
source_paragraph_first     200    after          1323587
source_paragraph_count     200    before         1331526
source_paragraph_count     200    after          1323419
eager_document             10000  before        64956377
eager_document             10000  after         19944796
eager_text                 10000  before       128804274
eager_text                 10000  after         83881547
eager_write_text           10000  before       230772059
eager_write_text           10000  after        185842549
eager_paragraph_first      10000  before        64950698
eager_paragraph_first      10000  after         64551637
eager_paragraph_repeat8    10000  before        64971933
eager_paragraph_repeat8    10000  after         64554253
eager_paragraph_count      10000  before        64986456
eager_paragraph_count      10000  after         64542120
eager_tables               10000  before       111432776
eager_tables               10000  after         65757019
source_document            10000  before        64972438
source_document            10000  after         19945459
source_text                10000  before       128796130
source_text                10000  after         83939457
source_paragraph_first     10000  before        65016103
source_paragraph_first     10000  after         64518733
source_paragraph_count     10000  before        64986967
source_paragraph_count     10000  after         64570004
