n = 120 before, 120 after (interleaved sample by sample)

-- elapsed_ns
stat        before       after       delta  reduction %
min      2773115.0   2700446.0    -72669.0         2.62
p25      2883696.0   2825376.0    -58320.0         2.02
p50      2959376.0   2896805.0    -62571.0         2.11
mean     3222320.0   3095531.9   -126788.1         3.93
p75      3028937.0   2960207.0    -68730.0         2.27
p95      6144794.0   5377437.0   -767357.0        12.49

-- minor_faults
stat        before       after       delta  reduction %
min          503.0       497.0        -6.0         1.19
p25          510.0       507.0        -3.0         0.59
p50          512.0       510.0        -2.0         0.39
mean         511.9       509.9        -2.0         0.40
p75          514.0       512.0        -2.0         0.39
p95          517.0       515.0        -2.0         0.39

-- syscr
stat        before       after       delta  reduction %
min          675.0       675.0         0.0         0.00
p25          675.0       675.0         0.0         0.00
p50          675.0       675.0         0.0         0.00
mean         675.0       675.0         0.0         0.00
p75          675.0       675.0         0.0         0.00
p95          675.0       675.0         0.0         0.00
