== readtext: total s100=8,634,614 s1100=36,320,679 per-op Ir=27,686
-- inclusive per-op deltas (top 40)
        55,372 200.00%  (below main)
        55,372 200.00%  std::rt::lang_start_internal
        55,023 198.74%  <alloc::string::String as core::clone::Clone>::clone
        27,686 100.00%  0x0000000000023cc0
        27,686 100.00%  __libc_start_main@@GLIBC_2.34
        27,686 100.00%  std::sys::backtrace::__rust_begin_short_backtrace
        27,686 100.00%  docppt_survey::main
        27,686 100.00%  main
        27,686 100.00%  std::rt::lang_start::{{closure}}
        27,686 100.00%  docppt_survey::profile_read
        27,531  99.44%  litchi_doc::document::model::semantic::basics::<impl litchi_doc::document::model::state::Document>::text
        27,332  98.72%  __memcpy_avx_unaligned_erms
           307   1.11%  __rustc::__rdl_alloc
           155   0.56%  __rustc::__rust_alloc
           145   0.52%  malloc
           136   0.49%  __libc_malloc2
           128   0.46%  free
           127   0.46%  __rustc::__rust_dealloc
           126   0.46%  __rustc::__rdl_dealloc
           111   0.40%  _int_malloc
           105   0.38%  _int_free_chunk
            88   0.32%  _int_free_merge_chunk
            34   0.12%  _int_free_maybe_trim
             1   0.00%  __rustc::__rust_no_alloc_shim_is_unstable_v2
             0   0.00%  core::fmt::write
             0   0.00%  <&std::io::stdio::Stdout as std::io::Write>::write_fmt
             0   0.00%  core::slice::memchr::memrchr
             0   0.00%  <u64 as core::fmt::Display>::fmt
             0   0.00%  <std::io::stdio::StdoutLock as std::io::Write>::write_all
             0   0.00%  std::io::stdio::_print
             0   0.00%  litchi_doc::parts::styles::codec::parser::<impl litchi_doc::parts::styles::model::StyleSheet>::parse_data
             0   0.00%  litchi_doc::parts::styles::codec::parser::<impl litchi_doc::parts::styles::model::StyleSheet>::parse_with_leniency
             0   0.00%  hashbrown::map::HashMap<K,V,S,A>::insert
             0   0.00%  litchi_doc::document::package::<impl litchi_doc::document::model::state::Document>::from_ole_with_options
             0   0.00%  litchi_doc::parts::styles::semantic::validation::validate_styles
             0   0.00%  <core::fmt::Formatter>::pad_integral
             0   0.00%  <std::io::default_write_fmt::Adapter<std::io::stdio::StdoutLock> as core::fmt::Write>::write_str
             0   0.00%  core::str::converts::from_utf8
             0   0.00%  <std::env::Args as core::iter::traits::iterator::Iterator>::next
             0   0.00%  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
-- self per-op deltas (top 25)
        27,332  98.72%  __memcpy_avx_unaligned_erms
           111   0.40%  _int_malloc
            54   0.20%  _int_free_merge_chunk
            34   0.12%  _int_free_maybe_trim
            33   0.12%  <alloc::string::String as core::clone::Clone>::clone
            28   0.10%  docppt_survey::profile_read
            23   0.08%  __libc_malloc2
            20   0.07%  free
            17   0.06%  _int_free_chunk
            11   0.04%  malloc
            10   0.04%  litchi_doc::document::model::semantic::basics::<impl litchi_doc::document::model::state::Document>::text
             9   0.03%  __rustc::__rdl_alloc
             1   0.00%  __rustc::__rust_alloc
             1   0.00%  __rustc::__rust_no_alloc_shim_is_unstable_v2
             1   0.00%  __rustc::__rdl_dealloc
             1   0.00%  __rustc::__rust_dealloc
             0   0.00%  hashbrown::map::HashMap<K,V,S,A>::insert
             0   0.00%  core::slice::memchr::memrchr
             0   0.00%  <u64 as core::fmt::Display>::fmt
             0   0.00%  docppt_survey::main
             0   0.00%  core::str::converts::from_utf8
-- call counts per op (selected)
         1.0  malloc
         1.0  __memcpy_avx_unaligned_erms
         1.0  _int_malloc
