# native perf stat, CPU 16, doc-facade-open, 20 warmups + 2000 samples, 3 repetitions per leg
# columns: leg,fixture,rep,instructions,cycles,task-clock(ms)
before,docsmall,1,11606078139,3300653367,781.89
before,docsmall,2,11613167497,3324901525,747.15
before,docsmall,3,11614758521,3282043637,738.26
after,docsmall,1,9552821738,2863435762,642.20
after,docsmall,2,9541101347,2830422061,635.68
after,docsmall,3,9551806330,2860210374,641.37
before,docmid,1,6060361292,1726631973,387.25
before,docmid,2,6060643131,1725581695,387.07
before,docmid,3,5984638695,1670224369,374.80
after,docmid,1,5738126750,1770547191,397.71
after,docmid,2,5714999413,1759576040,395.71
after,docmid,3,5668505676,1732574800,389.19
before,docbig,1,11461062715,4670827938,1046.78
before,docbig,2,11461716441,4676185861,1049.04
before,docbig,3,11466495186,4690694395,1053.60
after,docbig,1,9195284748,3685655202,827.74
after,docbig,2,9189658977,3664327709,821.73
after,docbig,3,9202136901,3685099820,826.09
