fixture	sheet	target	kind	leg	reads	bytes	result
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	A1	cell	A-base	reads=7	bytes=4733	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	A1	cell	B-fix	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	A1	cell	C-fix+gate	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	A1:E5	cells	A-base	reads=7	bytes=4733	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	A1:E5	cells	B-fix	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	A1:E5	cells	C-fix+gate	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	A2	cell	A-base	reads=7	bytes=4733	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	A2	cell	B-fix	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	A2	cell	C-fix+gate	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	AA1	cell	A-base	reads=7	bytes=4733	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	AA1	cell	B-fix	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	AA1	cell	C-fix+gate	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	B1	cell	A-base	reads=7	bytes=4733	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	B1	cell	B-fix	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	B1	cell	C-fix+gate	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	B1:B50	cells	A-base	reads=7	bytes=4733	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	B1:B50	cells	B-fix	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	B1:B50	cells	C-fix+gate	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	B2	cell	A-base	reads=7	bytes=4733	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	B2	cell	B-fix	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	B2	cell	C-fix+gate	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	BA50	cell	A-base	reads=7	bytes=4733	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	BA50	cell	B-fix	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	BA50	cell	C-fix+gate	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	C3	cell	A-base	reads=7	bytes=4733	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	C3	cell	B-fix	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	C3	cell	C-fix+gate	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	D4	cell	A-base	reads=7	bytes=4733	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	D4	cell	B-fix	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	D4	cell	C-fix+gate	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	E5	cell	A-base	reads=7	bytes=4733	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	E5	cell	B-fix	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	E5	cell	C-fix+gate	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	H680	cell	A-base	reads=7	bytes=4733	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	H680	cell	B-fix	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	H680	cell	C-fix+gate	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	M29	cell	A-base	reads=7	bytes=4733	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	M29	cell	B-fix	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	M29	cell	C-fix+gate	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
