admits	sheets	sheet	target	cycle	detail	path
no	1	Munka1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/custom-properties'	test-data/office-interop/libreoffice-resaved/date-autofilter-litchi.xlsx
no	1	Munka1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/office-interop/litchi-changed/date-autofilter-litchi.xlsx
no	18	Home	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx
no	3	Foglio1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/CustomXMLMappings-complex-type.xlsx
no	3	Foglio1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/CustomXMLMappings.xlsx
no	3	Foglio1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/CustomXmlMappings-inverse-order.xlsx
no	1	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/DataValidationEvaluations.xlsx
no	1	Sheet0	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/DataValidationListTooLong.xlsx
no	2	Flags	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/DateFormatNumberTests.xlsx
no	2	Flags	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/DateFormatTests.xlsx
no	3	Tabelle1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/ExcelPivotTableSample.xlsx
no	1	ExcelTable	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/ExcelTables.xlsx
no	2	Flags	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/thumbnail'	test-data/ooxml/xlsx/FormatChoiceTests.xlsx
no	2	Flags	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/FormatConditionTests.xlsx
no	3	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/Formatting.xlsx
no	3	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/HeaderFooterComplexFormats.xlsx
no	1	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/InlineString.xlsx
no	3	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/InlineStrings.xlsx
no	1	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/MatrixFormulaEvalTestData.xlsx
no	1	CF	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/NewStyleConditionalFormattings.xlsx
no	3	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/NewlineInFormulas.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/Pivot1_Row.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/Pivot1_Row_Grand.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/Pivot1_Row_Grand_Subtotals.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/Pivot2_Row.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/Pivot2_Row_Compact.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/Pivot2_Row_Grand.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/Pivot2_Row_Grand_Subtotals.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/Pivot2_Row_Subtotals.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/Pivot2_Row_Subtotals_SortDescendingAll.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/Pivot3_Column_Grand_Subtotals.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/Pivot4_Column_Grand_Subtotals_SortDescending.xlsx
no	3	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/SimpleMultiCell.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/SimpleNormal.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/SimpleScatterChart.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/SimpleStrict.xlsx
no	3	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/SimpleWithComments.xlsx
no	1	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/SingleCellTable.xlsx
no	3	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/Sparklines.xlsx
no	2	Formulas	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/StructuredReferences.xlsx
