single	multi	sheets	sheet	target	cycle	detail	path
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	yes	2	Flags	C4	cycle-err	OPC package error: source-backed OPC Part overlay is unavailable: existing relationships member 'xl/_rels/workbook.xml.rels' is not canonical	FormatConditionTests-proj-plain.xlsx
yes	yes	1	Sheet1	I16	cycle-err	cannot edit I16 on sheet 'Sheet1': the cell belongs to a range-scoped formula	MatrixFormulaEvalTestData-proj-plain.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	yes	2	County Ranking	C31	cycle-err	OPC package error: source-backed OPC Part overlay is unavailable: existing relationships member 'xl/_rels/workbook.xml.rels' is not canonical	dataValidationTableRange-proj-plain.xlsx
yes	yes	1	Лист 1	A1	ok	990233	no_drawing_patriarch-proj-plain.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	yes	2	стр1	ER25	cycle-err	OPC package error: XML publication rejected for '/xl/workbook.xml': noncompact XML FormattingWhitespace at byte 55	sheet-state-show-proj-plain.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse dependency-bearing or unknown element 'r'	2	Flags	C4	cycle-err	invalid XLSX structure: value-only edits refuse dependency-bearing or unknown element 'r'	FormatConditionTests-proj-rich.xlsx
no:invalid XLSX structure: value-only edits refuse dependency-bearing or unknown element 'r'	no:invalid XLSX structure: value-only edits refuse dependency-bearing or unknown element 'r'	1	Sheet1	I16	cycle-err	invalid XLSX structure: value-only edits refuse dependency-bearing or unknown element 'r'	MatrixFormulaEvalTestData-proj-rich.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse dependency-bearing or unknown element 'r'	2	County Ranking	C31	cycle-err	invalid XLSX structure: value-only edits refuse dependency-bearing or unknown element 'r'	dataValidationTableRange-proj-rich.xlsx
no:invalid XLSX structure: value-only edits refuse dependency-bearing or unknown element 'r'	no:invalid XLSX structure: value-only edits refuse dependency-bearing or unknown element 'r'	1	Лист 1	A15	cycle-err	invalid XLSX structure: value-only edits refuse dependency-bearing or unknown element 'r'	no_drawing_patriarch-proj-rich.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse dependency-bearing or unknown element 'r'	2	стр1	ER25	cycle-err	invalid XLSX structure: value-only edits refuse dependency-bearing or unknown element 'r'	sheet-state-show-proj-rich.xlsx
read-err	-	-	-	-	-	invalid XLSX structure: cell metadata index is outside Office limits	FormatConditionTests-proj-cm.xlsx
read-err	-	-	-	-	-	invalid XLSX structure: cell metadata index is outside Office limits	MatrixFormulaEvalTestData-proj-cm.xlsx
read-err	-	-	-	-	-	invalid XLSX structure: cell metadata index is outside Office limits	dataValidationTableRange-proj-cm.xlsx
read-err	-	-	-	-	-	invalid XLSX structure: cell metadata index is outside Office limits	no_drawing_patriarch-proj-cm.xlsx
read-err	-	-	-	-	-	invalid XLSX structure: cell metadata index is outside Office limits	sheet-state-show-proj-cm.xlsx
