first	g1	g2	g3	g4	g5	sheet	path
g1	http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	worksheet-rels	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/office-interop/libreoffice-resaved/date-autofilter-litchi.xlsx
g1	http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	-	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/office-interop/litchi-changed/date-autofilter-litchi.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	worksheet-rels	shared-string-value	-	xl/worksheets/sheet8.xml	test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/xmlMaps	-	-	-	xl/worksheets/sheet3.xml	test-data/ooxml/xlsx/CustomXMLMappings-complex-type.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/xmlMaps	-	-	-	xl/worksheets/sheet3.xml	test-data/ooxml/xlsx/CustomXMLMappings.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/xmlMaps	-	-	-	xl/worksheets/sheet3.xml	test-data/ooxml/xlsx/CustomXmlMappings-inverse-order.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	worksheet-rels	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/DataValidationEvaluations.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	-	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/DataValidationListTooLong.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	-	shared-string-value	-	xl/worksheets/sheet2.xml	test-data/ooxml/xlsx/DateFormatNumberTests.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	-	shared-string-value	-	xl/worksheets/sheet2.xml	test-data/ooxml/xlsx/DateFormatTests.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/connections	worksheet-rels	shared-string-value	-	xl/worksheets/sheet3.xml	test-data/ooxml/xlsx/ExcelPivotTableSample.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	worksheet-rels	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/ExcelTables.xlsx
g1	http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	-	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/FormatChoiceTests.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	-	shared-string-value	-	xl/worksheets/sheet2.xml	test-data/ooxml/xlsx/FormatConditionTests.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	-	-	-	xl/worksheets/sheet3.xml	test-data/ooxml/xlsx/Formatting.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	-	-	-	-	xl/worksheets/sheet3.xml	test-data/ooxml/xlsx/HeaderFooterComplexFormats.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	-	-	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/InlineString.xlsx
g1	http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	-	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/InlineStrings.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	worksheet-rels	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/MatrixFormulaEvalTestData.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	worksheet-rels	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/NewStyleConditionalFormattings.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	-	-	-	-	xl/worksheets/sheet3.xml	test-data/ooxml/xlsx/NewlineInFormulas.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/pivotCacheDefinition	worksheet-rels	shared-string-value	-	xl/worksheets/sheet2.xml	test-data/ooxml/xlsx/Pivot1_Row.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/pivotCacheDefinition	worksheet-rels	shared-string-value	-	xl/worksheets/sheet2.xml	test-data/ooxml/xlsx/Pivot1_Row_Grand.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/pivotCacheDefinition	worksheet-rels	shared-string-value	-	xl/worksheets/sheet2.xml	test-data/ooxml/xlsx/Pivot1_Row_Grand_Subtotals.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/pivotCacheDefinition	worksheet-rels	shared-string-value	-	xl/worksheets/sheet2.xml	test-data/ooxml/xlsx/Pivot2_Row.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/pivotCacheDefinition	worksheet-rels	shared-string-value	-	xl/worksheets/sheet2.xml	test-data/ooxml/xlsx/Pivot2_Row_Compact.xlsx
