# dvtr-insert-n1  (callgrind --separate-callers=1, inclusive)
Profiled target:  <probe> edit <scratch>/derived/dataValidationTableRange-proj-plain.xlsx County Ranking A999 1 --insert (PID 1899305, part 1)
137,428,185 (100.0%)  PROGRAM TOTALS
102,249,884 (74.40%)  <repo>/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::process_markup_compatibility'litchi_ooxml_common::mce::codec::process_ooxml [<probe>]
100,183,277 (72.90%)  <repo>/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::start'litchi_ooxml_common::mce::codec::process_markup_compatibility [<probe>]
 90,784,698 (66.06%)  <repo>/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::write_start'litchi_ooxml_common::mce::codec::start [<probe>]
 82,085,009 (59.73%)  <repo>/crates/litchi-xlsx/src/cell_values/source.rs:litchi_xlsx::cell_values::source::SourceBackedEditor::edit_many'xlsx_admission_probe::main [<probe>]
 82,069,854 (59.72%)  <repo>/crates/litchi-xlsx/src/cell_values/snapshot.rs:litchi_xlsx::cell_values::snapshot::MultiSnapshot::load_source_backed'litchi_xlsx::cell_values::source::SourceBackedEditor::edit_many [<probe>]
 80,945,859 (58.90%)  <repo>/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::esc'litchi_ooxml_common::mce::codec::write_start [<probe>]
 71,357,071 (51.92%)  <repo>/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::BoundedOutput::extend_from_slice'litchi_ooxml_common::mce::codec::esc [<probe>]
 53,978,233 (39.28%)  <repo>/crates/litchi-xlsx/src/cell_values/source.rs:litchi_xlsx::cell_values::source::MultiSourceEdit::commit'xlsx_admission_probe::main [<probe>]
 51,459,586 (37.44%)  <repo>/crates/litchi-xlsx/src/cell_values/snapshot.rs:litchi_xlsx::cell_values::snapshot::Snapshot::from_source_selected'litchi_xlsx::cell_values::snapshot::MultiSnapshot::load_source_backed [<probe>]
 49,350,316 (35.91%)  <repo>/crates/litchi-xlsx/src/raw/worksheet/mod.rs:litchi_xlsx::raw::worksheet::parse'litchi_xlsx::cell_values::snapshot::Snapshot::from_source_selected [<probe>]
 49,124,540 (35.75%)  <repo>/crates/litchi-xlsx/src/cell_values/snapshot.rs:litchi_xlsx::cell_values::snapshot::Snapshot::from_rewritten_value_source'litchi_xlsx::cell_values::source::MultiSourceEdit::commit [<probe>]
 47,435,414 (34.52%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/alloc/src/raw_vec/mod.rs:litchi_ooxml_common::mce::codec::BoundedOutput::extend_from_slice'litchi_ooxml_common::mce::codec::esc
