fixture	mode	cycles_per_op	instr_per_op	IPC
noheadfoot-litchi	facade-open	84029	279405	3.325
noheadfoot-litchi	facade-text	84412	279247	3.308
noheadfoot-litchi	facade-count	84765	283374	3.343
noheadfoot-litchi	facade-para0	117505	383512	3.264
noheadfoot-litchi	snap-open	348065	732485	2.104
noheadfoot-litchi	snap-para0	746505	1506888	2.019
documentProperties	facade-open	67643	221339	3.272
documentProperties	facade-text	68040	221527	3.256
documentProperties	facade-count	68185	222483	3.263
documentProperties	facade-para0	72793	238211	3.272
documentProperties	snap-open	342797	721100	2.104
documentProperties	snap-para0	728601	1479492	2.031
table-merged-cells	facade-open	205021	689263	3.362
table-merged-cells	facade-text	201996	690499	3.418
table-merged-cells	facade-count	203346	693097	3.408
table-merged-cells	facade-para0	520752	1702927	3.270
table-merged-cells	snap-open	435287	832057	1.912
table-merged-cells	snap-para0	689908	1284853	1.862
picture	snap-open	18906418	24265363	1.283
picture	snap-para0	31471715	40220852	1.278
kwsymphony	facade-open	2894998	6764463	2.337
kwsymphony	facade-text	2912403	6768538	2.324
FloatingPictures	facade-open	826274	2739162	3.315
saved-by-table	facade-open	1479317	4777525	3.230
kwsymphony	snap-open-try	7103653	9344040	1.315
FloatingPictures	snap-open-try	1592261	2311216	1.452
saved-by-table	snap-open-try	380936	624296	1.639
table-merged-cells	snap-open-try	440708	832407	1.889
endingnote	facade-open	78591	258749	3.292
endingnote	facade-text	79883	258453	3.235
endingnote	facade-count	79734	260653	3.269
endingnote	facade-para0	99782	318759	3.195
endingnote	snap-open	343717	721735	2.100
