==============================================================================
1. Per-operation instructions, callgrind isolation pairs (owned source)
==============================================================================
fixture                            op                 base          skip       skipcur        cursor     base-skip    share
ConditionalFormattingSamples.xls   open          2,328,670     1,971,708     1,994,683     2,375,880       356,962   15.33%
ConditionalFormattingSamples.xls   one-cell      2,551,158     2,202,623             -             -       348,535   13.66%
WithCustomViews.xls                open            809,190       812,997       813,328       810,294        -3,807   -0.47%
WithCustomViews.xls                one-cell        828,806       832,369             -             -        -3,563   -0.43%
54016.xls                          open          5,315,124     5,372,720     5,396,037     5,338,542       -57,596   -1.08%
54016.xls                          one-cell     18,605,033    18,662,759             -             -       -57,726   -0.31%

==============================================================================
2. The globals pass, INCLUSIVE Ir per operation and its share
==============================================================================
fixture                            op        leg     parse_globals    share    range read    share
ConditionalFormattingSamples.xls   open      base          398,547   17.11%       674,442   28.96%
ConditionalFormattingSamples.xls   open      skip          398,926   20.23%       214,102   10.86%
ConditionalFormattingSamples.xls   open      skipcur        398,556   19.98%             0    0.00%
ConditionalFormattingSamples.xls   open      cursor        398,049   16.75%             0    0.00%
ConditionalFormattingSamples.xls   one-cell  base          397,371   15.58%       674,922   26.46%
ConditionalFormattingSamples.xls   one-cell  skip          399,055   18.12%       214,134    9.72%
WithCustomViews.xls                open      base          164,875   20.38%       133,884   16.55%
WithCustomViews.xls                open      skip          165,230   20.32%       133,884   16.47%
WithCustomViews.xls                open      skipcur        164,576   20.23%             0    0.00%
WithCustomViews.xls                open      cursor        164,903   20.35%             0    0.00%
WithCustomViews.xls                one-cell  base          165,033   19.91%       133,836   16.15%
WithCustomViews.xls                one-cell  skip          164,851   19.81%       133,836   16.08%
54016.xls                          open      base        1,096,883   20.64%       375,743    7.07%
54016.xls                          open      skip        1,096,859   20.42%       375,743    6.99%
54016.xls                          open      skipcur      1,096,868   20.33%             0    0.00%
54016.xls                          open      cursor      1,096,858   20.55%             0    0.00%
54016.xls                          one-cell  base        1,097,078    5.90%       375,704    2.02%
54016.xls                          one-cell  skip        1,097,072    5.88%       375,704    2.01%

==============================================================================
3. Self Ir per operation, symbols above 0.3% of the base open
==============================================================================

-- ConditionalFormattingSamples.xls  open  (base total 2,328,670 Ir)
symbol                                                             base         skip      skipcur       cursor        delta
__memcpy_avx_unaligned_erms                                     675,789      262,963      250,681      671,107     +412,826
__memset_avx2_unaligned_erms                                    556,885      528,375      528,353      556,794      +28,510
litchi_cfb::file::SectorChainScratch::collect_exact              93,714       93,714       93,714       93,714           +0
litchi_xls::workbook::source::SourceBackedWorkbook::from_s       81,556       92,070       92,570       81,555      -10,514
_int_malloc                                                      56,403       56,840       57,116       56,258         -437
litchi_cfb::shared::SharedOleFile::read_stream_range_hinte       52,567       36,059            0            0      +16,508
litchi_cfb::shared::next_chain_sector                            50,376       29,040       25,824       25,824      +21,336
<litchi_biff::stream::Records as core::iter::traits::itera       42,243       42,243       42,243       42,243           +0
litchi_xls::xf_ext::XfExt::parse                                 39,057       39,057       39,057       39,057           +0
litchi_xls::border_fill::parse_xf_border_fill                    37,740       37,740       37,740       37,740           +0
_int_free_merge_chunk                                            33,489       33,970       33,832       33,281         -481
litchi_cfb::file::OleFile<R>::validate_physical_sector_lay       32,870       32,870       32,870       32,870           +0
litchi_cfb::file::OleFile<R>::validate_stream_allocations        31,131       31,131       31,131       31,131           +0
<litchi_xls::records::MeasuredText as litchi_xls::records:       29,088       29,088       29,088       29,088           +0
litchi_xls::records::walk_one_shared_string                      28,557       28,557       28,557       28,557           +0
litchi_xls::workbook::source::GlobalsBuffer::ensure              27,075       32,571       32,063       26,959       -5,496
litchi_xls::number_format::codec::<impl litchi_xls::number       26,984       26,985       26,985       26,986           -1
litchi_xls::number_format::codec::parse_xf                       25,738       25,738       25,738       25,738           +0
free                                                             24,701       24,705       24,688       24,692           -4
litchi_cfb::directory_name::directory_name_data                  24,380       58,036       12,961       12,961      -33,656
malloc                                                           17,840       17,844       17,819       17,852           -4
litchi_xls::differential_format::codec::<impl litchi_xls::       14,432       14,432       14,432       14,432           +0
litchi_xls::number_format::codec::parse_number_format            13,625       13,625       13,625       13,625           +0
alloc::raw_vec::RawVecInner<A>::finish_grow                      12,201       16,961       16,961       12,201       -4,760
realloc                                                          10,799       19,521       19,481       10,788       -8,722
_int_free_maybe_trim                                             10,224       10,391       10,339       10,162         -167
<alloc::string::String as core::iter::traits::collect::Fro       10,150       10,150       13,811       10,150           +0
core::hash::BuildHasher::hash_one                                 9,916        9,916        9,916        9,916           +0
litchi_xls::alignment::CellAlignment::parse                       9,520        9,520        9,520        9,520           +0
litchi_xls::records::scan_shared_string_records                   9,290        9,290        9,290        9,290           +0
litchi_xls::differential_format::validation::validate_prop        8,916        8,840        8,916        8,840          +76
<alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop             8,884        8,884        8,884        8,884           +0
litchi_cfb::file::OleFile<R>::load_directory                      8,676        8,676        8,676        8,676           +0
unlink_chunk.isra.0                                               8,664        8,767        8,822        8,547         -103
