container	before_requests	after_requests	before_bytes	after_bytes	before_versions	after_versions
test-data/iwork/directory/keynote/basic.key/Index.zip	3	3	1945	1945	4	4
test-data/iwork/directory/numbers/basic.numbers/Index.zip	3	3	2971	2971	4	4
test-data/iwork/directory/pages/basic.pages/Index.zip	3	3	583	583	4	4
test-data/iwork/keynote/basic.key	3	3	4736	4736	4	4
test-data/iwork/keynote/chart-arrangement-retirement-resaved.key	3	3	4815	4815	4	4
test-data/iwork/keynote/chart-caption-native-resaved.key	3	3	4807	4807	4	4
test-data/iwork/keynote/chart-caption-native.key	3	3	4815	4815	4	4
test-data/iwork/keynote/chart-data-edited-native.key	3	3	4815	4815	4	4
test-data/iwork/keynote/chart-data-native.key	3	3	4807	4807	4	4
test-data/iwork/keynote/chart-grid-authored-native.key	3	3	1357	1357	4	4
test-data/iwork/keynote/chart-grid-replaced-native.key	3	3	1357	1357	4	4
test-data/iwork/keynote/chart-titles-native-resaved.key	3	3	4807	4807	4	4
test-data/iwork/keynote/chart-titles-native.key	3	3	4807	4807	4	4
test-data/iwork/keynote/drawable-comments-cross-component-native/foreign-drawable-root-and-reply.key	3	3	4972	4972	4	4
test-data/iwork/keynote/drawable-comments-cross-component-native/foreign-drawable-root-create.key	3	3	4972	4972	4	4
test-data/iwork/keynote/drawable-comments-cross-component-native/foreign-reply-add.key	3	3	4972	4972	4	4
test-data/iwork/keynote/drawable-comments-cross-component-native/foreign-reply-remove.key	3	3	4972	4972	4	4
test-data/iwork/keynote/drawable-comments-cross-component-native/foreign-reply-set.key	3	3	4972	4972	4	4
test-data/iwork/keynote/drawable-comments-cross-component-native/foreign-root-clear.key	3	3	4972	4972	4	4
test-data/iwork/keynote/drawable-comments-cross-component-native/foreign-root-set.key	3	3	4972	4972	4	4
test-data/iwork/keynote/drawable-comments-cross-component-native/shared-foreign-reply-clear.key	3	3	4972	4972	4	4
test-data/iwork/keynote/drawable-comments-cross-component-native/shared-foreign-root-set.key	3	3	4972	4972	4	4
test-data/iwork/keynote/drawable-comments-cross-component-native/unrooted-unique-native-create-reply.key	3	3	4980	4980	4	4
test-data/iwork/keynote/drawable-comments-source-native.key	3	3	4980	4980	4	4
test-data/iwork/keynote/image-adjustments-native-resaved.key	3	3	5053	5053	4	4
test-data/iwork/keynote/image-adjustments-native.key	3	3	5045	5045	4	4
test-data/iwork/keynote/image-adjustments-retirement-resaved.key	3	3	5045	5045	4	4
test-data/iwork/keynote/media-audio-comment-duplicate-native.key	3	3	4980	4980	4	4
test-data/iwork/keynote/media-audio-comment-removal-native.key	3	3	4980	4980	4	4
test-data/iwork/keynote/media-audio-position-focused-native.key	3	3	4980	4980	4	4
test-data/iwork/keynote/media-audio-position-ui-native.key	3	3	4980	4980	4	4
test-data/iwork/keynote/media-comments-baseline-native.key	3	3	4972	4972	4	4
test-data/iwork/keynote/media-comments-duplicate-native.key	3	3	4972	4972	4	4
