REGRESSION: 2 matched results, 20 metrics, 18 regressions
Latency comparison excluded for 2 evidence-only result(s)
REGRESSION opc_file_eager_open[few-large/cold-requested] operation_metrics.allocation.allocated_bytes.values: 3.38245e+07 -> 3.72069e+07 (+10.00%; limit +5.00%)
REGRESSION opc_file_eager_open[few-large/cold-requested] operation_metrics.allocation.allocation_calls.values: 251 -> 276 (+9.96%; limit +5.00%)
REGRESSION opc_file_eager_open[few-large/cold-requested] operation_metrics.allocation.deallocated_bytes.values: 3.38245e+07 -> 3.72069e+07 (+10.00%; limit +5.00%)
REGRESSION opc_file_eager_open[few-large/cold-requested] operation_metrics.allocation.deallocation_calls.values: 232 -> 255 (+9.91%; limit +5.00%)
REGRESSION opc_file_eager_open[few-large/cold-requested] operation_metrics.allocation.live_bytes_after.values: 1337 -> 1473 (+10.17%; limit +5.00%)
REGRESSION opc_file_eager_open[few-large/cold-requested] operation_metrics.allocation.live_bytes_before.values: 1337 -> 1473 (+10.17%; limit +5.00%)
REGRESSION opc_file_eager_open[few-large/cold-requested] operation_metrics.allocation.peak_live_bytes_after.values: 3.36573e+07 -> 3.70231e+07 (+10.00%; limit +5.00%)
REGRESSION opc_file_eager_open[few-large/cold-requested] operation_metrics.allocation.peak_live_bytes_before.values: 4025 -> 4430 (+10.06%; limit +5.00%)
REGRESSION opc_file_eager_open[few-large/cold-requested] operation_metrics.allocation.reallocation_calls.values: 19 -> 21 (+10.53%; limit +5.00%)
REGRESSION opc_file_eager_open[few-large/warm] operation_metrics.allocation.allocated_bytes.values: 3.38245e+07 -> 3.72069e+07 (+10.00%; limit +5.00%)
REGRESSION opc_file_eager_open[few-large/warm] operation_metrics.allocation.allocation_calls.values: 251 -> 276 (+9.96%; limit +5.00%)
REGRESSION opc_file_eager_open[few-large/warm] operation_metrics.allocation.deallocated_bytes.values: 3.38245e+07 -> 3.72069e+07 (+10.00%; limit +5.00%)
REGRESSION opc_file_eager_open[few-large/warm] operation_metrics.allocation.deallocation_calls.values: 232 -> 255 (+9.91%; limit +5.00%)
REGRESSION opc_file_eager_open[few-large/warm] operation_metrics.allocation.live_bytes_after.values: 1337 -> 1473 (+10.17%; limit +5.00%)
REGRESSION opc_file_eager_open[few-large/warm] operation_metrics.allocation.live_bytes_before.values: 1337 -> 1473 (+10.17%; limit +5.00%)
REGRESSION opc_file_eager_open[few-large/warm] operation_metrics.allocation.peak_live_bytes_after.values: 3.36573e+07 -> 3.70231e+07 (+10.00%; limit +5.00%)
REGRESSION opc_file_eager_open[few-large/warm] operation_metrics.allocation.peak_live_bytes_before.values: 4025 -> 4430 (+10.06%; limit +5.00%)
REGRESSION opc_file_eager_open[few-large/warm] operation_metrics.allocation.reallocation_calls.values: 19 -> 21 (+10.53%; limit +5.00%)
