shape          case                 region         metric                           before          after    delta%
medium         one_edit_save        plan           allocation_calls                  17257          17177     -0.46
medium         one_edit_save        plan           allocated_bytes                 3195298        3188841     -0.20
medium         one_edit_save        plan           region_peak_live_bytes         23215667       23215664     -0.00
medium         one_edit_save        staging        allocation_calls                      6              6     +0.00
medium         one_edit_save        staging        allocated_bytes                   25323          25323     +0.00
medium         one_edit_save        staging        region_peak_live_bytes         22251599       22251596     -0.00
medium         one_edit_save        commit_core    allocation_calls                  10205          10205     +0.00
medium         one_edit_save        commit_core    allocated_bytes                  733634         733634     +0.00
medium         one_edit_save        commit_core    region_peak_live_bytes         22733694       22733691     -0.00
medium         one_edit_save        commit         allocation_calls                  10211          10211     +0.00
medium         one_edit_save        commit         allocated_bytes                  758957         758957     +0.00
medium         one_edit_save        commit         region_peak_live_bytes         22733694       22733691     -0.00
medium         one_edit_save        publication    allocation_calls                   4973           4973     +0.00
medium         one_edit_save        publication    allocated_bytes                 1523176        1523176     +0.00
medium         one_edit_save        publication    region_peak_live_bytes         23369294       23369291     -0.00
medium         one_percent_edit_save plan           allocation_calls                  67925          67845     -0.12
medium         one_percent_edit_save plan           allocated_bytes                12135917       12129460     -0.05
medium         one_percent_edit_save plan           region_peak_live_bytes         24866015       24866012     -0.00
medium         one_percent_edit_save staging        allocation_calls                    389            389     +0.00
medium         one_percent_edit_save staging        allocated_bytes                 1899381        1899381     +0.00
medium         one_percent_edit_save staging        region_peak_live_bytes         23911952       23911949     -0.00
medium         one_percent_edit_save commit_core    allocation_calls                  42383          42383     +0.00
medium         one_percent_edit_save commit_core    allocated_bytes                 3203898        3203898     +0.00
medium         one_percent_edit_save commit_core    region_peak_live_bytes         25953659       25953656     -0.00
medium         one_percent_edit_save commit         allocation_calls                  42772          42772     +0.00
medium         one_percent_edit_save commit         allocated_bytes                 5103279        5103279     +0.00
medium         one_percent_edit_save commit         region_peak_live_bytes         25953659       25953656     -0.00
medium         one_percent_edit_save publication    allocation_calls                  19197          19197     +0.00
medium         one_percent_edit_save publication    allocated_bytes                 4125138        4125138     +0.00
medium         one_percent_edit_save publication    region_peak_live_bytes         27035019       27035016     -0.00
dense-sparse   one_edit_save        plan           allocation_calls                 116942         116862     -0.07
dense-sparse   one_edit_save        plan           allocated_bytes                14231288       14224831     -0.05
dense-sparse   one_edit_save        plan           region_peak_live_bytes         33618419       33618416     -0.00
dense-sparse   one_edit_save        staging        allocation_calls                      6              6     +0.00
dense-sparse   one_edit_save        staging        allocated_bytes                   25323          25323     +0.00
dense-sparse   one_edit_save        staging        region_peak_live_bytes         29892523       29892520     -0.00
dense-sparse   one_edit_save        commit_core    allocation_calls                  67647          67647     +0.00
dense-sparse   one_edit_save        commit_core    allocated_bytes                 4800212        4800212     +0.00
dense-sparse   one_edit_save        commit_core    region_peak_live_bytes         33446705       33446702     -0.00
dense-sparse   one_edit_save        commit         allocation_calls                  67653          67653     +0.00
dense-sparse   one_edit_save        commit         allocated_bytes                 4825535        4825535     +0.00
dense-sparse   one_edit_save        commit         region_peak_live_bytes         33446705       33446702     -0.00
dense-sparse   one_edit_save        publication    allocation_calls                  33293          33293     +0.00
dense-sparse   one_edit_save        publication    allocated_bytes                 4184114        4184114     +0.00
dense-sparse   one_edit_save        publication    region_peak_live_bytes         34926842       34926839     -0.00
dense-sparse   one_percent_edit_save plan           allocation_calls                 129491         129411     -0.06
dense-sparse   one_percent_edit_save plan           allocated_bytes                15846525       15840068     -0.04
dense-sparse   one_percent_edit_save plan           region_peak_live_bytes         33623697       33623694     -0.00
dense-sparse   one_percent_edit_save staging        allocation_calls                    725            725     +0.00
dense-sparse   one_percent_edit_save staging        allocated_bytes                 2916044        2916044     +0.00
dense-sparse   one_percent_edit_save staging        region_peak_live_bytes         30266798       30266795     -0.00
dense-sparse   one_percent_edit_save commit_core    allocation_calls                  80110          80110     +0.00
dense-sparse   one_percent_edit_save commit_core    allocated_bytes                 5967616        5967616     +0.00
dense-sparse   one_percent_edit_save commit_core    region_peak_live_bytes         34188051       34188048     -0.00
dense-sparse   one_percent_edit_save commit         allocation_calls                  80835          80835     +0.00
dense-sparse   one_percent_edit_save commit         allocated_bytes                 8883660        8883660     +0.00
dense-sparse   one_percent_edit_save commit         region_peak_live_bytes         34188051       34188048     -0.00
dense-sparse   one_percent_edit_save publication    allocation_calls                  36573          36573     +0.00
dense-sparse   one_percent_edit_save publication    allocated_bytes                 5746513        5746513     +0.00
dense-sparse   one_percent_edit_save publication    region_peak_live_bytes         35762101       35762098     -0.00
noncompact     one_edit_save        plan           allocation_calls                  18410          18330     -0.43
noncompact     one_edit_save        plan           allocated_bytes                 3209656        3203199     -0.20
noncompact     one_edit_save        plan           region_peak_live_bytes         23241844       23241841     -0.00
noncompact     one_edit_save        staging        allocation_calls                      6              6     +0.00
noncompact     one_edit_save        staging        allocated_bytes                   25323          25323     +0.00
noncompact     one_edit_save        staging        region_peak_live_bytes         22276468       22276465     -0.00
noncompact     one_edit_save        commit_core    allocation_calls                  10214          10214     +0.00
noncompact     one_edit_save        commit_core    allocated_bytes                  746112         746112     +0.00
noncompact     one_edit_save        commit_core    region_peak_live_bytes         22770151       22770148     -0.00
noncompact     one_edit_save        commit         allocation_calls                  10220          10220     +0.00
noncompact     one_edit_save        commit         allocated_bytes                  771435         771435     +0.00
noncompact     one_edit_save        commit         region_peak_live_bytes         22770151       22770148     -0.00
noncompact     one_edit_save        publication    allocation_calls                   4973           4973     +0.00
noncompact     one_edit_save        publication    allocated_bytes                 1547788        1547788     +0.00
noncompact     one_edit_save        publication    region_peak_live_bytes         23430363       23430360     -0.00
noncompact     one_percent_edit_save plan           allocation_calls                  72537          72457     -0.11
noncompact     one_percent_edit_save plan           allocated_bytes                12192546       12186089     -0.05
noncompact     one_percent_edit_save plan           region_peak_live_bytes         24927792       24927789     -0.00
noncompact     one_percent_edit_save staging        allocation_calls                    389            389     +0.00
noncompact     one_percent_edit_save staging        allocated_bytes                 1899381        1899381     +0.00
noncompact     one_percent_edit_save staging        region_peak_live_bytes         23972421       23972418     -0.00
noncompact     one_percent_edit_save commit_core    allocation_calls                  42952          42952     +0.00
noncompact     one_percent_edit_save commit_core    allocated_bytes                 3270784        3270784     +0.00
noncompact     one_percent_edit_save commit_core    region_peak_live_bytes         26060636       26060633     -0.00
noncompact     one_percent_edit_save commit         allocation_calls                  43341          43341     +0.00
noncompact     one_percent_edit_save commit         allocated_bytes                 5170165        5170165     +0.00
noncompact     one_percent_edit_save commit         region_peak_live_bytes         26060636       26060633     -0.00
noncompact     one_percent_edit_save publication    allocation_calls                  19197          19197     +0.00
noncompact     one_percent_edit_save publication    allocated_bytes                 4223406        4223406     +0.00
noncompact     one_percent_edit_save publication    region_peak_live_bytes         27240108       27240105     -0.00

process peak RSS (allocator-instrumented run, max over samples)
