change 0635: callgrind isolation pairs, N=1 and N=11, totals differenced and divided by 10.
Legs: before = base c7326f680; after = the retained change; afterB = the retained change
plus patch/0635-chain-facts.patch (the rejected snapshot-chain capture).
Inclusive Ir per operation. taskset -c 11, one deterministic run per leg.

case                       symbol                                         before            after    delta%           afterB    chain%
one_edit-medium            WHOLE ITERATION                         1,221,585,678    1,219,949,175    -0.13%    1,222,413,911    +0.20%
one_edit-medium            from_source_selected                       28,438,972       26,986,772    -5.11%       26,826,962    -0.59%
one_edit-medium            worksheet_xml_and_parse_source             27,568,032       26,115,666    -5.27%       25,956,188    -0.61%
one_edit-medium            parse_source_with_observer                 54,441,107       51,521,308    -5.36%       51,202,494    -0.62%
one_edit-medium            observe                                     4,059,686        2,620,777   -35.44%        5,236,547   +99.81%
one_edit-medium            element                                     3,339,051        1,895,861   -43.22%        3,791,741  +100.00%
one_edit-medium            cell                                        1,852,146        1,158,672   -37.44%        2,317,344  +100.00%
one_edit-medium            raw_attribute                               1,121,155          843,468   -24.77%        1,686,955  +100.00%
one_edit-medium            push_cell                                           -                -         -          228,797         -
one_edit-medium            capture_auxiliary_source                      242,822          225,830    -7.00%                -         -
one_edit-medium            from_package_with_styles                      948,916          949,640    +0.08%          948,621    -0.11%
one_edit-medium            from_rewritten_value_source                13,305,846       13,303,694    -0.02%       16,064,078   +20.75%
one_edit-medium            validate_xml                               11,712,882       11,713,552    +0.01%           92,767   -99.21%
one_edit-medium            worksheet_xml_with_facts                            -                -         -       14,377,627         -
one_edit-medium            rewrite_value_only_with_provenance            206,403          159,536   -22.71%          207,395   +30.00%
one_edit-medium            is_spreadsheetml_name                       7,291,127        7,291,326    +0.00%        7,290,416    -0.01%

one_edit-dense-sparse      WHOLE ITERATION                         1,832,019,098    1,819,881,048    -0.66%    1,839,426,325    +1.07%
one_edit-dense-sparse      from_source_selected                      198,167,407      187,746,474    -5.26%      187,581,707    -0.09%
one_edit-dense-sparse      worksheet_xml_and_parse_source            192,813,112      182,392,725    -5.40%      182,227,609    -0.09%
one_edit-dense-sparse      parse_source_with_observer                380,735,064      359,785,603    -5.50%      359,455,318    -0.09%
one_edit-dense-sparse      observe                                    28,947,191       18,538,306   -35.96%       37,081,778  +100.03%
one_edit-dense-sparse      element                                    24,056,617       13,648,438   -43.27%       27,296,895  +100.00%
one_edit-dense-sparse      cell                                       13,655,096        8,540,928   -37.45%       17,081,856  +100.00%
one_edit-dense-sparse      raw_attribute                               7,936,794        5,988,240   -24.55%       11,976,499  +100.00%
one_edit-dense-sparse      push_cell                                     621,390          620,500    -0.14%        1,246,625  +100.91%
one_edit-dense-sparse      from_package_with_styles                      949,425          949,885    +0.05%          948,690    -0.13%
one_edit-dense-sparse      from_rewritten_value_source                91,433,500       91,433,642    +0.00%      110,954,165   +21.35%
one_edit-dense-sparse      validate_xml                               82,238,743       82,238,898    +0.00%           92,860   -99.89%
one_edit-dense-sparse      worksheet_xml_with_facts                            -                -         -      101,664,242         -
one_edit-dense-sparse      rewrite_value_only_with_provenance          1,319,981          991,714   -24.87%        1,334,839   +34.60%
one_edit-dense-sparse      scan_with_limit                                 3,342            4,728   +41.48%            5,122    +8.33%
one_edit-dense-sparse      is_spreadsheetml_name                      18,216,001       18,216,129    +0.00%       18,215,426    -0.00%

one_edit-noncompact        WHOLE ITERATION                         1,242,436,652    1,240,015,798    -0.19%                -         -
