op,leg,reps,rep,cycles,instructions,branch_misses,dtlb_load_misses,page_faults
eager_prepared_paragraph_count,rev0592,0,1,84329794,97236989,81004,77525,16599
eager_prepared_paragraph_count,rev0592,1,1,82162826,98176543,78218,75993,16598
eager_prepared_paragraph_count,base,0,1,80896116,94562074,95492,75494,16598
eager_prepared_paragraph_count,base,1,1,82969096,96763294,80371,75511,16599
eager_prepared_paragraph_count,rev0592,0,2,82420529,95971140,78403,75223,16599
eager_prepared_paragraph_count,rev0592,1,2,83132539,98178105,79892,75381,16599
eager_prepared_paragraph_count,base,0,2,85433064,94575970,78092,75427,16598
eager_prepared_paragraph_count,base,1,2,84016396,96670451,77601,75344,16599
eager_prepared_paragraph_count,rev0592,0,3,85569416,96010340,79095,75506,16599
eager_prepared_paragraph_count,rev0592,1,3,85747330,98200108,80154,75495,16597
eager_prepared_paragraph_count,base,0,3,82432420,94568472,77155,75395,16598
eager_prepared_paragraph_count,base,1,3,82296184,96722908,78574,75364,16597
eager_prepared_paragraph_count,rev0592,0,4,82005660,95986272,78628,75452,16598
eager_prepared_paragraph_count,rev0592,1,4,85266853,98253229,91119,75407,16600
eager_prepared_paragraph_count,base,0,4,86461991,94784796,87171,79490,16600
eager_prepared_paragraph_count,base,1,4,85340351,97002451,83755,77082,16598
eager_prepared_paragraph_count,rev0592,0,5,84163118,96036544,87815,77540,16598
eager_prepared_paragraph_count,rev0592,1,5,82363026,98165206,89088,76490,16602
eager_prepared_paragraph_count,base,0,5,82317691,94518238,88242,77022,16599
eager_prepared_paragraph_count,base,1,5,82460514,96656187,89157,77218,16599
eager_prepared_paragraph_count,rev0592,0,6,82797022,96000637,119109,79139,16600
eager_prepared_paragraph_count,rev0592,1,6,83168101,98102355,90604,78055,16598
eager_prepared_paragraph_count,base,0,6,82797655,94496415,86764,77264,16599
eager_prepared_paragraph_count,base,1,6,83443717,96627849,91494,77710,16600
eager_prepared_paragraph_count,rev0592,0,7,82947342,95973988,88535,77058,16598
eager_prepared_paragraph_count,rev0592,1,7,84048404,98130254,89869,77506,16598
eager_prepared_paragraph_count,base,0,7,83112439,94530909,102248,76657,16600
eager_prepared_paragraph_count,base,1,7,82272786,96775511,78426,74916,16596
eager_prepared_paragraph_count,rev0592,0,8,80870466,96000747,79007,74905,16598
eager_prepared_paragraph_count,rev0592,1,8,80804109,98231340,79930,75008,16599
eager_prepared_paragraph_count,base,0,8,81025448,94526288,77967,74920,16599
eager_prepared_paragraph_count,base,1,8,80049454,96675856,78992,75060,16597
eager_prepared_paragraph_count,rev0592,0,9,79357245,95961297,78510,74968,16598
eager_prepared_paragraph_count,rev0592,1,9,80350227,98128732,85653,75125,16598
eager_prepared_paragraph_count,base,0,9,78381025,94498332,77731,74913,16600
eager_prepared_paragraph_count,base,1,9,79194564,96767381,79277,75031,16599
eager_prepared_paragraph_count,rev0592,0,10,78681798,95971257,77607,75065,16598
eager_prepared_paragraph_count,rev0592,1,10,80104284,98224251,78975,75014,16598
eager_prepared_paragraph_count,base,0,10,78973861,94594788,79537,75004,16597
eager_prepared_paragraph_count,base,1,10,81116267,96884020,78760,75024,16599
eager_prepared_paragraph_count,rev0592,0,11,81419281,96015809,78587,75247,16598
eager_prepared_paragraph_count,rev0592,1,11,82174544,98412969,79665,75364,16598
eager_prepared_paragraph_count,base,0,11,78645265,94590040,76707,75534,16600
eager_prepared_paragraph_count,base,1,11,80057329,96763224,79331,75394,16597
eager_prepared_paragraph_count,rev0592,0,12,78487038,95971362,81432,74921,16599
eager_prepared_paragraph_count,rev0592,1,12,79244140,98185735,82440,75036,16599
eager_prepared_paragraph_count,base,0,12,78162054,94527402,76787,75222,16598
eager_prepared_paragraph_count,base,1,12,79712512,96680847,78225,74940,16596
eager_prepared_paragraph_count,rev0592,0,13,84494624,96371601,80593,75328,16599
eager_prepared_paragraph_count,rev0592,1,13,81166760,98408591,81566,75332,16601
eager_prepared_paragraph_count,base,0,13,80071416,94727530,78032,75175,16599
eager_prepared_paragraph_count,base,1,13,79340644,96844017,80358,75274,16598
eager_prepared_paragraph_count,rev0592,0,14,77977448,96154774,80841,75365,16598
eager_prepared_paragraph_count,rev0592,1,14,79538493,98190564,85532,75372,16600
eager_prepared_paragraph_count,base,0,14,77137417,94852665,85122,75435,16599
eager_prepared_paragraph_count,base,1,14,76565758,96797257,78979,75325,16597
eager_prepared_paragraph_count,rev0592,0,15,76038553,96228831,79910,75150,16600
eager_prepared_paragraph_count,rev0592,1,15,75442145,98234301,80245,75177,16598
eager_prepared_paragraph_count,base,0,15,75527343,94572697,78837,75518,16597
eager_prepared_paragraph_count,base,1,15,76921235,96909807,84401,75231,16599
eager_prepared_paragraph_count,rev0592,0,16,78181437,96035534,78807,75046,16599
eager_prepared_paragraph_count,rev0592,1,16,79731528,98168097,94949,75348,16598
eager_prepared_paragraph_count,base,0,16,76198643,94529349,76833,75165,16598
eager_prepared_paragraph_count,base,1,16,76102799,96843123,80016,75358,16597
eager_prepared_paragraph_count,rev0592,0,17,76448039,96149940,92137,75499,16599
eager_prepared_paragraph_count,rev0592,1,17,75692499,98243174,80004,75146,16600
eager_prepared_paragraph_count,base,0,17,73547395,94599735,75744,75308,16599
eager_prepared_paragraph_count,base,1,17,75300007,96836091,80709,75189,16599
eager_prepared_paragraph_count,rev0592,0,18,75348897,96133801,94390,75485,16598
