mode	fixture	bytes	cycles_per_op	instructions_per_op	cycles_per_byte	instructions_per_byte
cfb-index	noheadfoot-litchi.doc	10240	21307	69611	2.0807	6.7980
cfb-index	documentProperties.doc	9728	21393	68916	2.1992	7.0843
cfb-index	duplicate-style-names.doc	64512	22575	75520	0.3499	1.1706
cfb-index	endingnote.doc	9728	21451	68984	2.2050	7.0913
cfb-index	footnote.doc	9728	21615	69251	2.2219	7.1187
cfb-index	lists-margins.doc	10752	21820	70070	2.0294	6.5169
cfb-index	picture.doc	1448448	51850	237937	0.0358	0.1643
cfb-index	table-merged-cells.doc	17408	21118	67585	1.2131	3.8824
cfb-index	45543-transition-litchi.ppt	842240	41081	172250	0.0488	0.2045
cfb-index	45543-transition-litchi.ppt	397312	26743	103514	0.0673	0.2605
cfb-index	SampleShow.ppt	125440	23310	78508	0.1858	0.6259
cfb-index	empty.ppt	10240	21242	69010	2.0744	6.7392
cfb-index	empty_textbox.ppt	11776	20267	63688	1.7211	5.4083
cfb-index	ppt_with_png.ppt	39424	21641	71012	0.5489	1.8012
cfb-index	text-margins.ppt	44032	20837	66842	0.4732	1.5180
cfb-index	text_shapes.ppt	11264	20370	64885	1.8084	5.7604
cfb-index	empty.ppt	10240	21775	71682	2.1265	7.0002
cfb-index	41246-1.ppt	275456	28293	100730	0.1027	0.3657
cfb-index	45543.ppt	385024	26292	102766	0.0683	0.2669
cfb-index	54880_chinese.ppt	103936	23515	76935	0.2262	0.7402
cfb-index	Password_Protected-56-hello.ppt	10752	20560	64064	1.9122	5.9583
cfb-index	Password_Protected-hello.ppt	10752	20498	64121	1.9065	5.9636
cfb-index	Password_Protected-np-hello.ppt	10752	20417	63713	1.8989	5.9257
cfb-index	WithComments.ppt	10752	20529	65554	1.9093	6.0969
cfb-index	WithLinks.ppt	20992	22458	72997	1.0698	3.4774
cfb-index	basic_test_ppt_file.ppt	15360	20244	64542	1.3180	4.2019
cfb-index	bug58144-headers-footers-2003.ppt	11776	20591	65605	1.7485	5.5711
cfb-index	bug58144-headers-footers-2007.ppt	142848	24618	82261	0.1723	0.5759
cfb-index	cryptoapi-proc2356.ppt	1341952	45317	211570	0.0338	0.1577
cfb-index	datetime.ppt	114176	24266	78994	0.2125	0.6919
cfb-index	headers_footers.ppt	12800	20370	64313	1.5914	5.0245
cfb-index	headers_footers_2007.ppt	169472	21814	75893	0.1287	0.4478
cfb-index	incorrect_slide_order.ppt	9728	20409	63693	2.0980	6.5474
cfb-index	ole2-embedding-2003.ppt	40448	22149	71913	0.5476	1.7779
cfb-index	ppt_with_embeded.ppt	180736	22805	80021	0.1262	0.4428
cfb-index	sound.ppt	43520	22131	72735	0.5085	1.6713
cfb-index	testPPT_oleWorkbook.ppt	98304	23692	79749	0.2410	0.8112
cfb-index	text-margins.ppt	44032	20928	67260	0.4753	1.5275
