source	test-data/libreoffice-core/sd/qa/unit/data/pptx/slide-section-test.pptx
target	slide:1/shape:1
open	MCE_CALLS	1
open	MCE_INPUT_BYTES	2357
open	MCE_REWRITES	1
open	MCE_REWRITE_INPUT_BYTES	2357
open	PART_DECODES	1
open	PART_DECODE_BYTES	2357
open	SCENE_READS	0
open	SCENE_READ_BYTES	0
open	CAPTURES	0
open	FINGERPRINTS	0
open	FINGERPRINT_BYTES	0
open	PACKAGES_EQUAL	0
capture	MCE_CALLS	45
capture	MCE_INPUT_BYTES	821676
capture	MCE_REWRITES	45
capture	MCE_REWRITE_INPUT_BYTES	821676
capture	PART_DECODES	30
capture	PART_DECODE_BYTES	547784
capture	SCENE_READS	0
capture	SCENE_READ_BYTES	0
capture	CAPTURES	1
capture	FINGERPRINTS	1
capture	FINGERPRINT_BYTES	784445
capture	PACKAGES_EQUAL	0
transaction	MCE_CALLS	45
transaction	MCE_INPUT_BYTES	821676
transaction	MCE_REWRITES	45
transaction	MCE_REWRITE_INPUT_BYTES	821676
transaction	PART_DECODES	30
transaction	PART_DECODE_BYTES	547784
transaction	SCENE_READS	0
transaction	SCENE_READ_BYTES	0
transaction	CAPTURES	1
transaction	FINGERPRINTS	1
transaction	FINGERPRINT_BYTES	784445
transaction	PACKAGES_EQUAL	0
settext	MCE_CALLS	48
settext	MCE_INPUT_BYTES	873747
settext	MCE_REWRITES	48
settext	MCE_REWRITE_INPUT_BYTES	873747
settext	PART_DECODES	30
settext	PART_DECODE_BYTES	547784
settext	SCENE_READS	2
settext	SCENE_READ_BYTES	34041
settext	CAPTURES	1
settext	FINGERPRINTS	1
settext	FINGERPRINT_BYTES	784445
settext	PACKAGES_EQUAL	0
commit	MCE_CALLS	94
commit	MCE_INPUT_BYTES	1726827
commit	MCE_REWRITES	94
commit	MCE_REWRITE_INPUT_BYTES	1726827
commit	PART_DECODES	59
commit	PART_DECODE_BYTES	1093071
commit	SCENE_READS	4
commit	SCENE_READ_BYTES	68012
commit	CAPTURES	2
commit	FINGERPRINTS	2
commit	FINGERPRINT_BYTES	1568820
commit	PACKAGES_EQUAL	0
apply	MCE_CALLS	95
apply	MCE_INPUT_BYTES	1729184
apply	MCE_REWRITES	95
apply	MCE_REWRITE_INPUT_BYTES	1729184
apply	PART_DECODES	60
apply	PART_DECODE_BYTES	1095428
apply	SCENE_READS	4
apply	SCENE_READ_BYTES	68012
apply	CAPTURES	2
apply	FINGERPRINTS	2
apply	FINGERPRINT_BYTES	1568820
apply	PACKAGES_EQUAL	1
