file	bytes	read_calls	read_bytes	full_artifact_reads	len_calls	version_calls	outcome
/home/zhuhe/code/litchi/test-data/libreoffice-core/embeddedobj/qa/cppunit/data/insert-file-config.doc	22016	18	31468	1.4293	12	40	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/libreoffice-core/sw/qa/core/data/ww8/fail/redline-1.doc	8319	1	512	0.0615	2	3	open-ERR Ole(InvalidFormat("Invalid byte order"))
/home/zhuhe/code/litchi/test-data/libreoffice-core/sw/qa/core/doc/data/bookmark-delete-redline.doc	66048	15	75500	1.1431	12	38	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/libreoffice-core/sw/qa/extras/ww8import/data/changes-in-footnote.doc	13312	15	22388	1.6818	12	38	open-ERR Refused(Revision)
/home/zhuhe/code/litchi/test-data/office-interop/libreoffice-resaved/noheadfoot-litchi.doc	10240	50	115457	11.2751	56	194	OK
/home/zhuhe/code/litchi/test-data/office-interop/litchi-changed/noheadfoot-litchi.doc	27648	15	37100	1.3419	12	38	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/3endnotes.doc	35328	18	44780	1.2675	12	40	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/DiffFirstPageHeadFoot.doc	27648	15	37100	1.3419	12	38	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/FancyFoot.doc	27136	15	36588	1.3483	12	38	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/FloatingPictures.doc	335360	28	353792	1.0550	12	46	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/HeaderFooterProblematic.doc	61440	13	69120	1.1250	12	36	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/HeaderFooterUnicode.doc	28672	15	38124	1.3297	12	38	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/Lists.doc	27648	15	37100	1.3419	12	38	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/NoHeadFoot.doc	26112	15	35564	1.3620	12	38	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/PasswordProtected.doc	19968	14	27802	1.3923	12	37	open-ERR Refused(Encrypted)
/home/zhuhe/code/litchi/test-data/ole/doc/PngPicture.doc	14336	16	22016	1.5357	12	38	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/ThreeColFoot.doc	27136	15	36588	1.3483	12	38	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/ThreeColHead.doc	27136	15	36588	1.3483	12	38	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/ThreeColHeadFoot.doc	27136	15	36588	1.3483	12	38	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/cfb-truncated-final-sector.doc	24065	15	33517	1.3928	12	38	open-ERR Refused(Field)
/home/zhuhe/code/litchi/test-data/ole/doc/cfb-v3-uninitialized-size-high-word.doc	15360	16	23040	1.5000	12	38	open-ERR Refused(AmbiguousTopology)
/home/zhuhe/code/litchi/test-data/ole/doc/cjklist30.doc	24064	15	33516	1.3928	12	38	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/cjklist31.doc	24064	15	33516	1.3928	12	38	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/cjklist34.doc	24064	15	33516	1.3928	12	38	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/cjklist35.doc	24064	15	33516	1.3928	12	38	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/commented-table.doc	27136	18	36588	1.3483	12	40	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/documentProperties.doc	9728	50	110625	11.3718	56	194	OK
/home/zhuhe/code/litchi/test-data/ole/doc/duplicate-style-names.doc	64512	51	603993	9.3625	56	194	OK
/home/zhuhe/code/litchi/test-data/ole/doc/empty.doc	19456	13	27136	1.3947	12	36	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/endingnote.doc	9728	35	75267	7.7372	39	132	read-ERR Refused(StructuralContent)
