file	bytes	outcome	reads	read_x	len	version
45543-transition-litchi.ppt	842240	OK	14->14	2.02->2.02	11->11	37->37
45543-transition-litchi.ppt	397312	OK	8->8	2.03->2.03	11->11	31->31
SampleShow.ppt	125440	OK	14->14	2.06->2.06	11->11	37->37
empty.ppt	10240	OK	12->12	2.50->2.50	11->11	35->35
empty_textbox.ppt	11776	OK	12->12	2.43->2.43	11->11	35->35
ppt_with_png.ppt	39424	OK	12->12	2.13->2.13	11->11	35->35
text-margins.ppt	44032	OK	12->12	2.12->2.12	11->11	35->35
text_shapes.ppt	11264	OK	12->12	2.45->2.45	11->11	35->35
empty.ppt	10240	OK	12->12	2.50->2.50	11->11	35->35
41246-1.ppt	275456	OK	16->16	2.03->2.03	11->11	39->39
45543.ppt	385024	OK	8->8	2.02->2.02	11->11	31->31
54880_chinese.ppt	103936	OK	14->14	2.06->2.06	11->11	37->37
Password_Protected-56-hello.ppt	10752	OK	12->12	2.48->2.48	11->11	35->35
Password_Protected-hello.ppt	10752	OK	12->12	2.48->2.48	11->11	35->35
Password_Protected-np-hello.ppt	10752	OK	12->12	2.48->2.48	11->11	35->35
WithComments.ppt	10752	OK	12->12	2.48->2.48	11->11	35->35
WithLinks.ppt	20992	OK	10->10	2.24->2.24	11->11	33->33
basic_test_ppt_file.ppt	15360	OK	12->12	2.33->2.33	11->11	35->35
bug58144-headers-footers-2003.ppt	11776	OK	12->12	2.43->2.43	11->11	35->35
bug58144-headers-footers-2007.ppt	142848	OK	16->16	2.05->2.05	11->11	39->39
cryptoapi-proc2356.ppt	1341952	OK	10->10	2.02->2.02	11->11	35->35
datetime.ppt	114176	OK	16->16	2.06->2.06	11->11	39->39
headers_footers.ppt	12800	OK	12->12	2.40->2.40	11->11	35->35
headers_footers_2007.ppt	169472	OK	8->8	2.04->2.04	11->11	31->31
incorrect_slide_order.ppt	9728	OK	12->12	2.53->2.53	11->11	35->35
ole2-embedding-2003.ppt	40448	OK	12->12	2.13->2.13	11->11	35->35
ppt_with_embeded.ppt	180736	OK	8->8	2.03->2.03	11->11	31->31
sound.ppt	43520	OK	12->12	2.12->2.12	11->11	35->35
testPPT_oleWorkbook.ppt	98304	OK	14->14	2.07->2.07	11->11	37->37
text-margins.ppt	44032	OK	12->12	2.12->2.12	11->11	35->35
# admitted: 30 fixtures; bytes read 2.02x-2.53x -> 2.02x-2.53x; reduction median 0.0%, range 0.0%-0.0%
