mode	fixture	bytes	cycles_per_op	instructions_per_op	cycles_per_byte	instructions_per_byte
doc-open	noheadfoot-litchi.doc	10240	342341	720287	33.4317	70.3406
doc-open	documentProperties.doc	9728	333550	708940	34.2876	72.8762
doc-open	duplicate-style-names.doc	64512	1038421	1616363	16.0966	25.0552
doc-open	endingnote.doc	9728	333917	709441	34.3253	72.9277
doc-open	footnote.doc	9728	333017	712091	34.2328	73.2002
doc-open	lists-margins.doc	10752	348680	733181	32.4294	68.1902
doc-open	picture.doc	1448448	18967979	24218464	13.0954	16.7203
doc-open	table-merged-cells.doc	17408	429858	822364	24.6931	47.2406
ppt-open	45543-transition-litchi.ppt	842240	3743401	4848668	4.4446	5.7569
ppt-open	45543-transition-litchi.ppt	397312	1768234	2360041	4.4505	5.9400
ppt-open	SampleShow.ppt	125440	610315	886605	4.8654	7.0680
ppt-open	empty.ppt	10240	115378	250577	11.2674	24.4704
ppt-open	empty_textbox.ppt	11776	119960	247404	10.1868	21.0092
ppt-open	ppt_with_png.ppt	39424	241696	409260	6.1307	10.3810
ppt-open	text-margins.ppt	44032	258830	426001	5.8782	9.6748
ppt-open	text_shapes.ppt	11264	119281	247903	10.5895	22.0085
ppt-open	empty.ppt	10240	116323	253046	11.3596	24.7115
ppt-open	41246-1.ppt	275456	1260643	1727173	4.5766	6.2702
ppt-open	45543.ppt	385024	1706432	2278547	4.4320	5.9179
ppt-open	54880_chinese.ppt	103936	519411	767219	4.9974	7.3816
ppt-open	Password_Protected-56-hello.ppt	10752	116083	241920	10.7964	22.5000
ppt-open	Password_Protected-hello.ppt	10752	116122	241887	10.8001	22.4969
ppt-open	Password_Protected-np-hello.ppt	10752	115991	241961	10.7879	22.5038
ppt-open	WithComments.ppt	10752	116321	245837	10.8186	22.8643
ppt-open	WithLinks.ppt	20992	163915	311859	7.8085	14.8561
ppt-open	basic_test_ppt_file.ppt	15360	136215	268079	8.8682	17.4530
ppt-open	bug58144-headers-footers-2003.ppt	11776	120520	250836	10.2343	21.3006
ppt-open	bug58144-headers-footers-2007.ppt	142848	688117	989859	4.8171	6.9295
ppt-open	cryptoapi-proc2356.ppt	1341952	5874252	7527140	4.3774	5.6091
ppt-open	datetime.ppt	114176	565383	830340	4.9519	7.2725
ppt-open	headers_footers.ppt	12800	124173	254044	9.7010	19.8472
ppt-open	headers_footers_2007.ppt	169472	786074	1104931	4.6384	6.5198
ppt-open	incorrect_slide_order.ppt	9728	111637	236801	11.4759	24.3422
ppt-open	ole2-embedding-2003.ppt	40448	246771	415959	6.1009	10.2838
ppt-open	ppt_with_embeded.ppt	180736	836908	1172944	4.6306	6.4898
ppt-open	sound.ppt	43520	259667	434449	5.9666	9.9827
ppt-open	testPPT_oleWorkbook.ppt	98304	497186	743915	5.0576	7.5675
ppt-open	text-margins.ppt	44032	258801	426373	5.8776	9.6833
