mode	fixture	bytes	cycles_per_op	instructions_per_op	cycles_per_byte	instructions_per_byte
doc-open	noheadfoot-litchi.doc	10240	220640	505948	21.5469	49.4090
doc-open	documentProperties.doc	9728	216970	499031	22.3037	51.2984
doc-open	duplicate-style-names.doc	64512	571274	961980	8.8553	14.9116
doc-open	endingnote.doc	9728	217035	499591	22.3103	51.3560
doc-open	footnote.doc	9728	217776	501895	22.3865	51.5929
doc-open	lists-margins.doc	10752	225119	513892	20.9374	47.7950
doc-open	picture.doc	1448448	9590872	12513533	6.6215	8.6393
doc-open	table-merged-cells.doc	17408	263166	552641	15.1175	31.7464
ppt-open	45543-transition-litchi.ppt	842240	3745110	4848798	4.4466	5.7570
ppt-open	45543-transition-litchi.ppt	397312	1772804	2359627	4.4620	5.9390
ppt-open	SampleShow.ppt	125440	609861	886642	4.8618	7.0683
ppt-open	empty.ppt	10240	114992	250457	11.2297	24.4586
ppt-open	empty_textbox.ppt	11776	119928	247451	10.1841	21.0132
ppt-open	ppt_with_png.ppt	39424	240222	409239	6.0933	10.3805
ppt-open	text-margins.ppt	44032	259141	426086	5.8853	9.6767
ppt-open	text_shapes.ppt	11264	118306	247823	10.5030	22.0013
ppt-open	empty.ppt	10240	116714	253110	11.3978	24.7178
ppt-open	41246-1.ppt	275456	1254634	1726872	4.5548	6.2691
ppt-open	45543.ppt	385024	1709237	2278462	4.4393	5.9177
ppt-open	54880_chinese.ppt	103936	519224	767289	4.9956	7.3823
ppt-open	Password_Protected-56-hello.ppt	10752	115886	241930	10.7781	22.5010
ppt-open	Password_Protected-hello.ppt	10752	115817	241954	10.7717	22.5031
ppt-open	Password_Protected-np-hello.ppt	10752	115750	241935	10.7654	22.5014
ppt-open	WithComments.ppt	10752	116687	245863	10.8526	22.8667
ppt-open	WithLinks.ppt	20992	162513	311755	7.7417	14.8511
ppt-open	basic_test_ppt_file.ppt	15360	135832	268334	8.8433	17.4697
ppt-open	bug58144-headers-footers-2003.ppt	11776	120787	250840	10.2571	21.3009
ppt-open	bug58144-headers-footers-2007.ppt	142848	689463	989957	4.8266	6.9301
ppt-open	cryptoapi-proc2356.ppt	1341952	5878554	7527697	4.3806	5.6095
ppt-open	datetime.ppt	114176	565179	830368	4.9501	7.2727
ppt-open	headers_footers.ppt	12800	124726	254141	9.7442	19.8547
ppt-open	headers_footers_2007.ppt	169472	786532	1104944	4.6411	6.5199
ppt-open	incorrect_slide_order.ppt	9728	111057	236639	11.4162	24.3255
ppt-open	ole2-embedding-2003.ppt	40448	245590	416006	6.0718	10.2850
ppt-open	ppt_with_embeded.ppt	180736	836068	1172924	4.6259	6.4897
ppt-open	sound.ppt	43520	257981	434423	5.9279	9.9821
ppt-open	testPPT_oleWorkbook.ppt	98304	496838	744201	5.0541	7.5704
ppt-open	text-margins.ppt	44032	258493	426424	5.8706	9.6844
