# fixture=/home/zhuhe/code/litchi/test-data/ole/doc/documentProperties.doc mode=doc-open bytes=9728
# witness_offset=520 forced=true
# clean_outcome=OK
# clean_read_calls=23
trigger_after_read	fired	reads	outcome
0	0	23	OK
1	1	3	open-ERR Ole(CorruptedFile("MiniFAT chain exceeds its declared length"))
2	1	8	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
3	1	8	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
4	1	8	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
5	1	8	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
6	1	8	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
7	1	13	open-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
8	1	13	open-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
9	1	13	open-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
10	1	13	open-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
11	1	21	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
12	1	21	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
13	1	21	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
14	1	21	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
15	1	21	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
16	1	21	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
17	1	21	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
18	1	21	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
19	1	21	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
20	1	23	open-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
21	1	23	open-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
22	1	23	open-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
23	1	23	OK
