# fixture=/home/zhuhe/code/litchi/test-data/ole/doc/documentProperties.doc mode=doc-open bytes=9728
# witness_offset=520 forced=true
# clean_outcome=OK
# clean_read_calls=30
trigger_after_read	fired	reads	outcome
0	0	30	OK
1	1	3	open-ERR Ole(CorruptedFile("MiniFAT chain exceeds its declared length"))
2	1	8	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
3	1	8	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
4	1	8	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
5	1	8	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
6	1	8	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
7	1	10	open-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
8	1	10	open-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
9	1	10	open-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
10	1	13	open-ERR Ole(CorruptedFile("MiniFAT chain exceeds its declared length"))
11	1	13	open-ERR Ole(CorruptedFile("MiniFAT chain exceeds its declared length"))
12	1	22	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
13	1	22	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
14	1	22	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
15	1	22	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
16	1	22	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
17	1	22	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
18	1	22	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
19	1	22	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
20	1	22	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
21	1	24	open-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
22	1	24	open-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
23	1	24	open-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
24	1	28	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
25	1	28	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
26	1	28	open-ERR Overlay(Ole(CorruptedFile("MiniFAT chain exceeds its declared length")))
27	1	30	open-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
28	1	30	open-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
29	1	30	open-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
30	1	30	OK
