mode	fixture	bytes	reads	complete_scans
doc-open	noheadfoot-litchi.doc	10240	30	6
doc-open	documentProperties.doc	9728	30	6
doc-open	duplicate-style-names.doc	64512	31	6
doc-open	endingnote.doc	9728	30	6
doc-open	footnote.doc	9728	30	6
doc-open	lists-margins.doc	10752	30	6
doc-open	picture.doc	1448448	46	6
doc-open	table-merged-cells.doc	17408	30	6
doc-open-read	noheadfoot-litchi.doc	10240	59	14
doc-open-read	documentProperties.doc	9728	59	14
doc-open-read	duplicate-style-names.doc	64512	60	14
doc-open-read	endingnote.doc	9728	43	10
doc-open-read	footnote.doc	9728	43	10
doc-open-read	lists-margins.doc	10752	59	14
doc-open-read	picture.doc	1448448	68	10
doc-open-read	table-merged-cells.doc	17408	43	10
ppt-open	45543-transition-litchi.ppt	842240	14	2
ppt-open	45543-transition-litchi.ppt	397312	8	2
ppt-open	SampleShow.ppt	125440	14	2
ppt-open	empty.ppt	10240	12	2
ppt-open	empty_textbox.ppt	11776	12	2
ppt-open	ppt_with_png.ppt	39424	12	2
ppt-open	text-margins.ppt	44032	12	2
ppt-open	text_shapes.ppt	11264	12	2
ppt-open	empty.ppt	10240	12	2
ppt-open	41246-1.ppt	275456	16	2
ppt-open	45543.ppt	385024	8	2
ppt-open	54880_chinese.ppt	103936	14	2
ppt-open	Password_Protected-56-hello.ppt	10752	12	2
ppt-open	Password_Protected-hello.ppt	10752	12	2
ppt-open	Password_Protected-np-hello.ppt	10752	12	2
ppt-open	WithComments.ppt	10752	12	2
ppt-open	WithLinks.ppt	20992	10	2
ppt-open	basic_test_ppt_file.ppt	15360	12	2
ppt-open	bug58144-headers-footers-2003.ppt	11776	12	2
ppt-open	bug58144-headers-footers-2007.ppt	142848	16	2
ppt-open	cryptoapi-proc2356.ppt	1341952	10	2
ppt-open	datetime.ppt	114176	16	2
ppt-open	headers_footers.ppt	12800	12	2
ppt-open	headers_footers_2007.ppt	169472	8	2
ppt-open	incorrect_slide_order.ppt	9728	12	2
ppt-open	ole2-embedding-2003.ppt	40448	12	2
ppt-open	ppt_with_embeded.ppt	180736	8	2
ppt-open	sound.ppt	43520	12	2
ppt-open	testPPT_oleWorkbook.ppt	98304	14	2
ppt-open	text-margins.ppt	44032	12	2
