# fixture=/home/zhuhe/code/litchi/test-data/ole/doc/documentProperties.doc mode=doc-open bytes=9728
# outcome=OK
# fingerprint_chunk=1048576
call_ordinal	read_ordinal	kind	offset	len	class
1		len	0	9728	-
2		version	0	0	-
3		version	0	0	-
4		len	0	9728	-
5	1	read	0	512	index-or-range
6	2	read	512	512	index-or-range
7	3	read	8704	1024	index-or-range
8	4	read	1536	512	index-or-range
9		version	0	0	-
10		version	0	0	-
11		len	0	9728	-
12		version	0	0	-
13		version	0	0	-
14		version	0	0	-
15		version	0	0	-
16		len	0	9728	-
17		version	0	0	-
18		version	0	0	-
19		len	0	9728	-
20		version	0	0	-
21		version	0	0	-
22	5	read	0	9728	scan-chunk
23		version	0	0	-
24		version	0	0	-
25		len	0	9728	-
26		version	0	0	-
27		version	0	0	-
28		len	0	9728	-
29		version	0	0	-
30		version	0	0	-
31		len	0	9728	-
32		version	0	0	-
33		version	0	0	-
34	6	read	0	512	index-or-range
35		version	0	0	-
36		version	0	0	-
37	7	read	512	512	index-or-range
38		version	0	0	-
39		version	0	0	-
40	8	read	8704	1024	index-or-range
41		version	0	0	-
42		version	0	0	-
43	9	read	1536	512	index-or-range
44		version	0	0	-
45		version	0	0	-
46		len	0	9728	-
47		version	0	0	-
48		version	0	0	-
49		len	0	9728	-
50		version	0	0	-
51		version	0	0	-
52	10	read	0	9728	scan-chunk
53		version	0	0	-
54		version	0	0	-
55		len	0	9728	-
56		version	0	0	-
57		version	0	0	-
58		len	0	9728	-
59		version	0	0	-
60		version	0	0	-
61		len	0	9728	-
62	11	read	0	512	index-or-range
63	12	read	512	512	index-or-range
64	13	read	8704	1024	index-or-range
65	14	read	1536	512	index-or-range
66		version	0	0	-
67		version	0	0	-
68		len	0	9728	-
69		version	0	0	-
70		version	0	0	-
71	15	read	4416	154	index-or-range
72		version	0	0	-
73	16	read	4416	1242	index-or-range
74		version	0	0	-
75	17	read	3399	84	index-or-range
76		version	0	0	-
77	18	read	2844	21	index-or-range
78		version	0	0	-
79		version	0	0	-
80		version	0	0	-
81		len	0	9728	-
82		version	0	0	-
83		version	0	0	-
84		len	0	9728	-
85		version	0	0	-
86		version	0	0	-
87	19	read	0	9728	scan-chunk
88		version	0	0	-
89		version	0	0	-
90		len	0	9728	-
91		version	0	0	-
92		version	0	0	-
93		len	0	9728	-
94		version	0	0	-
95		version	0	0	-
96		len	0	9728	-
97		version	0	0	-
98		version	0	0	-
99	20	read	0	512	index-or-range
100		version	0	0	-
101		version	0	0	-
102	21	read	512	512	index-or-range
103		version	0	0	-
104		version	0	0	-
105	22	read	8704	1024	index-or-range
106		version	0	0	-
107		version	0	0	-
108	23	read	1536	512	index-or-range
109		version	0	0	-
110		version	0	0	-
111		len	0	9728	-
112		version	0	0	-
113		version	0	0	-
114		len	0	9728	-
115		version	0	0	-
116		version	0	0	-
117	24	read	0	9728	scan-chunk
118		version	0	0	-
119		version	0	0	-
120		len	0	9728	-
121		version	0	0	-
122		version	0	0	-
123		len	0	9728	-
124		version	0	0	-
125		version	0	0	-
126		version	0	0	-
127		len	0	9728	-
128		version	0	0	-
129		version	0	0	-
130		len	0	9728	-
131		version	0	0	-
132		version	0	0	-
133	25	read	0	9728	scan-chunk
134		version	0	0	-
135		version	0	0	-
136		len	0	9728	-
137		version	0	0	-
138		version	0	0	-
139		len	0	9728	-
140		version	0	0	-
141		version	0	0	-
142		len	0	9728	-
143		version	0	0	-
144		version	0	0	-
145	26	read	0	512	index-or-range
146		version	0	0	-
147		version	0	0	-
148	27	read	512	512	index-or-range
149		version	0	0	-
150		version	0	0	-
151	28	read	8704	1024	index-or-range
152		version	0	0	-
153		version	0	0	-
154	29	read	1536	512	index-or-range
155		version	0	0	-
156		version	0	0	-
157		len	0	9728	-
158		version	0	0	-
159		version	0	0	-
160		len	0	9728	-
161		version	0	0	-
162		version	0	0	-
163	30	read	0	9728	scan-chunk
164		version	0	0	-
165		version	0	0	-
166		len	0	9728	-
167		version	0	0	-
168		version	0	0	-
169		len	0	9728	-
170		version	0	0	-
# read_calls=30
# scan_chunks=6 chunks_per_scan=1
# complete_scans=6
