# fixture operation parts inflated_bytes parts_inflated bytes_inflated outcome
libreoffice-core/chart2/qa/extras/data/xlsx/boxWhisker.xlsx opc-noop 10 30555 0 0 published:13397
libreoffice-core/chart2/qa/extras/data/xlsx/tdf143127.xlsx opc-noop 15 37969 0 0 published:18486
libreoffice-core/oox/qa/unit/data/chart-data-label-char-color.docx opc-noop 13 162962 0 0 published:26014
libreoffice-core/oox/qa/unit/data/import-mce.pptx opc-noop 22 76041 0 0 published:33763
libreoffice-core/oox/qa/unit/data/shape-text-alignment.pptx opc-noop 22 55959 0 0 published:30844
libreoffice-core/oox/qa/unit/data/tdf131082.pptx opc-noop 15 61759 0 0 published:25881
libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx opc-noop 11 112296 0 0 published:27708
libreoffice-core/sc/qa/unit/data/xlsb/tdf108017_calcProtection.xlsb opc-noop 12 18203 0 0 published:10911
libreoffice-core/sc/qa/unit/data/xlsx/LambdaAndRelatedFunctions.xlsx opc-noop 20 85359 0 0 published:29373
libreoffice-core/sc/qa/unit/data/xlsx/NamedSheetViews.xlsx opc-noop 10 19465 0 0 published:9494
libreoffice-core/sc/qa/unit/data/xlsx/Spill.xlsx opc-noop 12 13237 0 0 published:9964
libreoffice-core/sc/qa/unit/data/xlsx/activex_checkbox.xlsx opc-noop 11 19756 0 0 published:12433
libreoffice-core/sc/qa/unit/data/xlsx/autofilterShowButton.xlsx opc-noop 7 12946 0 0 published:8367
libreoffice-core/sc/qa/unit/data/xlsx/dataValidity.xlsx opc-noop 10 23553 0 0 published:11268
libreoffice-core/sc/qa/unit/data/xlsx/dateAutofilter.xlsx opc-noop 7 12850 0 0 published:8435
libreoffice-core/sc/qa/unit/data/xlsx/enhanced-protection.xlsx opc-noop 7 13157 0 0 published:8483
libreoffice-core/sc/qa/unit/data/xlsx/enhancedProtectionRangeShorthand.xlsx opc-noop 7 11294 0 0 published:5479
libreoffice-core/sc/qa/unit/data/xlsx/external-refs.xlsx opc-noop 10 12633 0 0 published:9172
libreoffice-core/sc/qa/unit/data/xlsx/freezePaneStartCell.xlsx opc-noop 8 16789 0 0 published:7730
libreoffice-core/sc/qa/unit/data/xlsx/invalid_ext_data_validation.xlsx opc-noop 11 47662 0 0 published:16883
libreoffice-core/sc/qa/unit/data/xlsx/page_scale.xlsx opc-noop 5 8282 0 0 published:4243
libreoffice-core/sc/qa/unit/data/xlsx/queryTableExport.xlsx opc-noop 10 12025 0 0 published:8580
libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/3d-reference.xlsx opc-noop 10 14527 0 0 published:9455
libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/basic.xlsx opc-noop 10 13962 0 0 published:8984
libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/refupdate.xlsx opc-noop 7 15107 0 0 published:8671
libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/text-results.xlsx opc-noop 9 13366 0 0 published:8576
libreoffice-core/sc/qa/unit/data/xlsx/sheet-tab-color.xlsx opc-noop 9 12012 0 0 published:8408
libreoffice-core/sc/qa/unit/data/xlsx/subtotal-above.xlsx opc-noop 9 20637 0 0 published:10111
libreoffice-core/sc/qa/unit/data/xlsx/tdf100034.xlsx opc-noop 8 103087 0 0 published:18756
libreoffice-core/sc/qa/unit/data/xlsx/tdf105840_allRowsHidden.xlsx opc-noop 6 10332 0 0 published:7015
libreoffice-core/sc/qa/unit/data/xlsx/tdf111980_radioButtons.xlsx opc-noop 22 36815 0 0 published:20005
libreoffice-core/sc/qa/unit/data/xlsx/tdf120168.xlsx opc-noop 15 22792 0 0 published:15192
libreoffice-core/sc/qa/unit/data/xlsx/tdf134455.xlsx opc-noop 6 13076 0 0 published:5288
libreoffice-core/sc/qa/unit/data/xlsx/tdf134459_HeaderFooterColor.xlsx opc-noop 7 20198 0 0 published:9421
libreoffice-core/sc/qa/unit/data/xlsx/tdf136721_letter_sized_paper.xlsx opc-noop 9 56949 0 0 published:15723
libreoffice-core/sc/qa/unit/data/xlsx/tdf143068_top10filter.xlsx opc-noop 8 15865 0 0 published:9415
libreoffice-core/sc/qa/unit/data/xlsx/tdf167689_xmlMaps_and_xmlColumnPr.xlsx opc-noop 9 8022 0 0 published:6042
libreoffice-core/sc/qa/unit/data/xlsx/tdf66377.xlsx opc-noop 17 40644 0 0 published:17056
libreoffice-core/sc/qa/unit/data/xlsx/tdf97598_scenarios.xlsx opc-noop 9 11979 0 0 published:8400
libreoffice-core/sc/qa/unit/data/xlsx/textLengthDataValidity.xlsx opc-noop 7 19046 0 0 published:9244
libreoffice-core/sc/qa/unit/data/xlsx/totalsRowShown.xlsx opc-noop 9 31642 0 0 published:11360
libreoffice-core/sc/qa/unit/data/xlsx/track-changes/simple-cell-changes.xlsx opc-noop 17 19557 0 0 published:15414
libreoffice-core/sd/qa/unit/data/BoldonseFontEmbedded.pptx opc-noop 21 120672 0 0 published:67477
libreoffice-core/sd/qa/unit/data/pptx/ole.pptx opc-noop 24 85991 0 0 published:41588
libreoffice-core/sd/qa/unit/data/pptx/slide-section-test.pptx opc-noop 58 768905 0 0 published:108164
libreoffice-core/sd/qa/unit/data/pptx/slide-sections.pptx opc-noop 34 667521 0 0 published:138108
libreoffice-core/sd/qa/unit/data/pptx/tdf103477.pptx opc-noop 41 197391 0 0 published:64312
libreoffice-core/sd/qa/unit/data/pptx/tdf114821.pptx opc-noop 26 119285 0 0 published:50235
libreoffice-core/sd/qa/unit/data/pptx/tdf89064.pptx opc-noop 23 54519 0 0 published:24629
libreoffice-core/sw/qa/core/objectpositioning/data/do-not-capture-draw-objs-on-page-draw-wrap-none.docx opc-noop 14 74259 0 0 published:21260
libreoffice-core/sw/qa/extras/ooxmlexport/data/NumberedList.docx opc-noop 15 437495 0 0 published:55519
libreoffice-core/sw/qa/extras/ooxmlexport/data/decimal-numbering-no-leveltext.docx opc-noop 10 46804 0 0 published:13517
libreoffice-core/sw/qa/extras/ooxmlexport/data/listWithLgl.docx opc-noop 3 7697 0 0 published:3009
libreoffice-core/sw/qa/extras/ooxmlexport/data/lvlPicBulletId.docx opc-noop 22 94443 0 0 published:32450
libreoffice-core/sw/qa/extras/ooxmlexport/data/mailmerge.docx opc-noop 17 61054 0 0 published:17580
libreoffice-core/sw/qa/extras/ooxmlexport/data/strict.docx opc-noop 20 133798 0 0 published:25636
libreoffice-core/sw/qa/extras/ooxmlexport/data/tdf124384.docx opc-noop 18 231570 0 0 published:37437
libreoffice-core/sw/qa/extras/ooxmlexport/data/testGlossary.docx opc-noop 19 101284 0 0 published:25741
libreoffice-core/sw/qa/extras/ooxmlimport/data/numbering-circle.docx opc-noop 7 10486 0 0 published:4952
libreoffice-core/sw/qa/extras/ooxmlimport/data/tdf108545_embeddedDocxIcon.docx opc-noop 18 78230 0 0 published:28843
libreoffice-core/sw/qa/extras/ooxmlimport/data/tdf119039_bad_embedded_compound.docx opc-noop 10 55119 0 0 published:13876
libreoffice-core/sw/qa/extras/uiwriter/data/autotext-multiple.dotx opc-noop 13 84034 0 0 published:18470
libreoffice-core/sw/qa/writerfilter/dmapper/data/alt-chunk-header.docx opc-noop 28 152426 0 0 published:77621
libreoffice-core/sw/qa/writerfilter/dmapper/data/alt-chunk-html.docx opc-noop 2 1499 0 0 published:2344
libreoffice-core/sw/qa/writerfilter/dmapper/data/alt-chunk.docx opc-noop 10 57923 0 0 published:22007
libreoffice-core/sw/qa/writerfilter/dmapper/data/layout-in-cell-2.docx opc-noop 16 458539 0 0 published:66189
libreoffice-core/sw/qa/writerfilter/dmapper/data/redline-range-comment.docx opc-noop 13 78458 0 0 published:17713
office-interop/libreoffice-resaved/date-autofilter-litchi.xlsx opc-noop 9 15473 0 0 published:7311
office-interop/libreoffice-resaved/document-properties-litchi.docx opc-noop 8 24425 0 0 published:6825
office-interop/libreoffice-resaved/shapes-litchi.pptx opc-noop 25 263214 0 0 published:53239
office-interop/litchi-changed/date-autofilter-litchi.xlsx opc-noop 7 12992 0 0 published:6604
office-interop/litchi-changed/document-properties-litchi.docx opc-noop 9 42011 0 0 published:11143
office-interop/litchi-changed/shapes-litchi.pptx opc-noop 27 140153 0 0 published:61466
ooxml/docx/ComplexNumberedLists.docx opc-noop 10 62145 0 0 published:14458
ooxml/docx/FancyFoot.docx opc-noop 11 36735 0 0 published:12876
ooxml/docx/Headers.docx opc-noop 13 35642 0 0 published:13076
ooxml/docx/Hyperlink.docx opc-noop 8 43317 0 0 published:11478
ooxml/docx/comment.docx opc-noop 7 9150 0 0 published:4926
ooxml/docx/documentProperties.docx opc-noop 9 41994 0 0 published:23503
ooxml/docx/documentProtection_comments_no_password.docx opc-noop 8 27073 0 0 published:9868
ooxml/docx/documentProtection_forms_no_password.docx opc-noop 8 27180 0 0 published:9924
ooxml/docx/documentProtection_no_protection.docx opc-noop 8 27108 0 0 published:9884
ooxml/docx/documentProtection_readonly_no_password.docx opc-noop 8 27021 0 0 published:9856
ooxml/docx/drawing.docx opc-noop 19 382464 0 0 published:95247
ooxml/docx/endnotes.docx opc-noop 12 35597 0 0 published:13553
ooxml/docx/footnotes.docx opc-noop 12 31717 0 0 published:12823
ooxml/docx/headerFooter.docx opc-noop 15 49919 0 0 published:28423
ooxml/docx/headerPic.docx opc-noop 12 38073 0 0 published:16206
ooxml/docx/table-alignment.docx opc-noop 9 111748 0 0 published:15519
ooxml/docx/table-indent.docx opc-noop 7 81548 0 0 published:7639
ooxml/docx/table_footnotes.docx opc-noop 12 33895 0 0 published:13177
ooxml/docx/testComment.docx opc-noop 13 111088 0 0 published:65298
ooxml/pptx/SmartArt.pptx opc-noop 26 150094 0 0 published:41382
