# fixture operation parts inflated_bytes parts_inflated bytes_inflated outcome
libreoffice-core/chart2/qa/extras/data/xlsx/boxWhisker.xlsx opc-reblob 10 30555 1 785 published:13397
libreoffice-core/chart2/qa/extras/data/xlsx/tdf143127.xlsx opc-reblob 15 37969 1 881 published:18486
libreoffice-core/oox/qa/unit/data/chart-data-label-char-color.docx opc-reblob 13 162962 1 729 published:26014
libreoffice-core/oox/qa/unit/data/import-mce.pptx opc-reblob 22 76041 1 1124 published:33763
libreoffice-core/oox/qa/unit/data/shape-text-alignment.pptx opc-reblob 22 55959 1 1319 published:30844
libreoffice-core/oox/qa/unit/data/tdf131082.pptx opc-reblob 15 61759 1 1128 published:25881
libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx opc-reblob 11 112296 1 394 published:27708
libreoffice-core/sc/qa/unit/data/xlsb/tdf108017_calcProtection.xlsb opc-reblob 12 18203 1 902 published:10911
libreoffice-core/sc/qa/unit/data/xlsx/LambdaAndRelatedFunctions.xlsx opc-reblob 20 85359 1 394 published:29373
libreoffice-core/sc/qa/unit/data/xlsx/NamedSheetViews.xlsx opc-reblob 10 19465 1 394 published:9494
libreoffice-core/sc/qa/unit/data/xlsx/Spill.xlsx opc-reblob 12 13237 1 394 published:9964
libreoffice-core/sc/qa/unit/data/xlsx/activex_checkbox.xlsx opc-reblob 11 19756 1 785 published:12433
libreoffice-core/sc/qa/unit/data/xlsx/autofilterShowButton.xlsx opc-reblob 7 12946 1 785 published:8367
libreoffice-core/sc/qa/unit/data/xlsx/dataValidity.xlsx opc-reblob 10 23553 1 847 published:11268
libreoffice-core/sc/qa/unit/data/xlsx/dateAutofilter.xlsx opc-reblob 7 12850 1 836 published:8435
libreoffice-core/sc/qa/unit/data/xlsx/enhanced-protection.xlsx opc-reblob 7 13157 1 785 published:8483
libreoffice-core/sc/qa/unit/data/xlsx/enhancedProtectionRangeShorthand.xlsx opc-reblob 7 11294 1 432 published:5479
libreoffice-core/sc/qa/unit/data/xlsx/external-refs.xlsx opc-reblob 10 12633 1 820 published:9172
libreoffice-core/sc/qa/unit/data/xlsx/freezePaneStartCell.xlsx opc-reblob 8 16789 1 452 published:7730
libreoffice-core/sc/qa/unit/data/xlsx/invalid_ext_data_validation.xlsx opc-reblob 11 47662 1 845 published:16883
libreoffice-core/sc/qa/unit/data/xlsx/page_scale.xlsx opc-reblob 5 8282 1 418 published:4243
libreoffice-core/sc/qa/unit/data/xlsx/queryTableExport.xlsx opc-reblob 10 12025 1 865 published:8580
libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/3d-reference.xlsx opc-reblob 10 14527 1 793 published:9455
libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/basic.xlsx opc-reblob 10 13962 1 843 published:8984
libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/refupdate.xlsx opc-reblob 7 15107 1 785 published:8671
libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/text-results.xlsx opc-reblob 9 13366 1 793 published:8576
libreoffice-core/sc/qa/unit/data/xlsx/sheet-tab-color.xlsx opc-reblob 9 12012 1 841 published:8408
libreoffice-core/sc/qa/unit/data/xlsx/subtotal-above.xlsx opc-reblob 9 20637 1 815 published:10111
libreoffice-core/sc/qa/unit/data/xlsx/tdf100034.xlsx opc-reblob 8 103087 1 404 published:18756
libreoffice-core/sc/qa/unit/data/xlsx/tdf105840_allRowsHidden.xlsx opc-reblob 6 10332 1 766 published:7015
libreoffice-core/sc/qa/unit/data/xlsx/tdf111980_radioButtons.xlsx opc-reblob 22 36815 1 788 published:20005
libreoffice-core/sc/qa/unit/data/xlsx/tdf120168.xlsx opc-reblob 15 22792 1 290 published:15192
libreoffice-core/sc/qa/unit/data/xlsx/tdf134455.xlsx opc-reblob 6 13076 1 379 published:5288
libreoffice-core/sc/qa/unit/data/xlsx/tdf134459_HeaderFooterColor.xlsx opc-reblob 7 20198 1 811 published:9421
libreoffice-core/sc/qa/unit/data/xlsx/tdf136721_letter_sized_paper.xlsx opc-reblob 9 56949 1 785 published:15723
libreoffice-core/sc/qa/unit/data/xlsx/tdf143068_top10filter.xlsx opc-reblob 8 15865 1 785 published:9415
libreoffice-core/sc/qa/unit/data/xlsx/tdf167689_xmlMaps_and_xmlColumnPr.xlsx opc-reblob 9 8022 1 615 published:6042
libreoffice-core/sc/qa/unit/data/xlsx/tdf66377.xlsx opc-reblob 17 40644 1 6446 published:17056
libreoffice-core/sc/qa/unit/data/xlsx/tdf97598_scenarios.xlsx opc-reblob 9 11979 1 842 published:8400
libreoffice-core/sc/qa/unit/data/xlsx/textLengthDataValidity.xlsx opc-reblob 7 19046 1 785 published:9244
libreoffice-core/sc/qa/unit/data/xlsx/totalsRowShown.xlsx opc-reblob 9 31642 1 527 published:11360
libreoffice-core/sc/qa/unit/data/xlsx/track-changes/simple-cell-changes.xlsx opc-reblob 17 19557 1 820 published:15414
libreoffice-core/sd/qa/unit/data/BoldonseFontEmbedded.pptx opc-reblob 21 120672 1 1309 published:67477
libreoffice-core/sd/qa/unit/data/pptx/ole.pptx opc-reblob 24 85991 1 1456 published:41588
libreoffice-core/sd/qa/unit/data/pptx/slide-section-test.pptx opc-reblob 58 768905 1 452 published:108164
libreoffice-core/sd/qa/unit/data/pptx/slide-sections.pptx opc-reblob 34 667521 1 1656 published:138108
libreoffice-core/sd/qa/unit/data/pptx/tdf103477.pptx opc-reblob 41 197391 1 1254 published:64312
libreoffice-core/sd/qa/unit/data/pptx/tdf114821.pptx opc-reblob 26 119285 1 1345 published:50235
libreoffice-core/sd/qa/unit/data/pptx/tdf89064.pptx opc-reblob 23 54519 1 418 published:24629
libreoffice-core/sw/qa/core/objectpositioning/data/do-not-capture-draw-objs-on-page-draw-wrap-none.docx opc-reblob 14 74259 1 306 published:21260
libreoffice-core/sw/qa/extras/ooxmlexport/data/NumberedList.docx opc-reblob 15 437495 1 3177 published:55519
