members	bytes	remainder	width	n	p50_ns	mean_ns	p95_ns	p99_ns	speedup_vs_seq
2	64	64	0	160	10170	10176	10280	10400	1.000
2	64	64	1	80	10090	10215	10200	10360	1.008
2	64	64	2	80	15700	622506	4053477	5053172	0.648
2	64	64	4	80	19100	682028	4989691	5998706	0.532
# aa-floor members=2 bytes=64 a1=10171 a2=10160 spread=0.11%
2	128	128	0	160	10970	11030	11150	12100	1.000
2	128	128	1	80	11150	11761	11380	12880	0.984
2	128	128	2	80	19410	19017	19950	20110	0.565
2	128	128	4	80	19560	19846	20720	29430	0.561
# aa-floor members=2 bytes=128 a1=10910 a2=11020 spread=1.01%
2	256	256	0	160	12970	12943	13270	13840	1.000
2	256	256	1	80	12660	12925	13170	20200	1.024
2	256	256	2	80	21060	22282	23660	31830	0.616
2	256	256	4	80	21120	21524	23030	33110	0.614
# aa-floor members=2 bytes=256 a1=12620 a2=13110 spread=3.88%
2	512	512	0	160	14190	14367	14440	19430	1.000
2	512	512	1	80	14441	14990	15650	26700	0.983
2	512	512	2	80	22580	22558	23550	32590	0.628
2	512	512	4	80	24300	1805901	8994128	9009889	0.584
# aa-floor members=2 bytes=512 a1=14150 a2=14230 spread=0.57%
2	871	871	0	160	16280	55452	16560	27580	1.000
2	871	871	1	80	16320	16448	16650	17040	0.998
2	871	871	2	80	3053863	3776420	6999270	8994159	0.005
2	871	871	4	80	22920	1506925	7910384	14990204	0.710
# aa-floor members=2 bytes=871 a1=16350 a2=16210 spread=0.86%
3	256	512	0	160	19040	19204	19340	25480	1.000
3	256	512	1	80	18870	19338	19400	30600	1.009
3	256	512	2	80	27030	27225	28920	38031	0.704
3	256	512	4	80	28260	29093	34701	35330	0.674
# aa-floor members=3 bytes=256 a1=18900 a2=19170 spread=1.43%
4	128	384	0	160	22150	22433	22460	29540	1.000
4	128	384	1	80	22200	22434	22580	28391	0.998
4	128	384	2	80	30850	30836	31810	38600	0.718
4	128	384	4	80	32480	32788	39370	43690	0.682
# aa-floor members=4 bytes=128 a1=22161 a2=22130 spread=0.14%
4	256	768	0	160	25640	26635	33350	56271	1.000
4	256	768	1	80	25230	25893	25590	32071	1.016
4	256	768	2	80	34060	34694	41460	52270	0.753
4	256	768	4	80	36270	37492	41670	48721	0.707
# aa-floor members=4 bytes=256 a1=24860 a2=25831 spread=3.91%
4	512	1536	0	160	28930	29258	29430	36260	1.000
4	512	1536	1	80	28620	98102	36291	502462	1.011
4	512	1536	2	80	37591	909090	5996215	7899384	0.770
4	512	1536	4	80	34731	1005944	3968486	10997236	0.833
# aa-floor members=4 bytes=512 a1=29030 a2=28820 spread=0.73%
8	64	448	0	160	40090	247805	47590	60551	1.000
8	64	448	1	80	39580	139975	39971	47140	1.013
8	64	448	2	80	3068592	3280573	6860609	8853768	0.013
8	64	448	4	80	57181	1380950	3011723	3267994	0.701
# aa-floor members=8 bytes=64 a1=40111 a2=40010 spread=0.25%
8	128	896	0	160	43960	157516	48740	52460	1.000
8	128	896	1	80	48571	200723	1004414	2832392	0.905
8	128	896	2	80	3583055	2393867	4986582	8993198	0.012
8	128	896	4	80	930084	1726621	3477455	12148141	0.047
# aa-floor members=8 bytes=128 a1=43680 a2=44110 spread=0.98%
8	256	1792	0	160	50091	242693	1115514	3754106	1.000
8	256	1792	1	80	54871	154320	56840	61290	0.913
8	256	1792	2	80	59191	437937	3061273	3990767	0.846
8	256	1792	4	80	2928113	2978761	4396459	9563541	0.017
# aa-floor members=8 bytes=256 a1=50570 a2=49740 spread=1.67%
