members	bytes	remainder	width	n	p50_ns	mean_ns	p95_ns	p99_ns	speedup_vs_seq
2	871	871	0	120	15980	16241	18011	25490	1.000
2	871	871	1	60	15930	16185	16180	16460	1.003
2	871	871	2	60	10830	11079	11080	18450	1.476
2	871	871	4	60	10770	11790	11060	21240	1.484
2	871	871	8	60	10700	10803	11030	11600	1.493
# aa-floor members=2 bytes=871 seq_p50_a1=15860 seq_p50_a2=16030 spread=1.07%
4	871	2613	0	120	31480	32079	31980	44120	1.000
4	871	2613	1	60	31610	32044	31900	38960	0.996
4	871	2613	2	60	18991	19230	19470	25431	1.658
4	871	2613	4	60	16250	16807	21491	24600	1.937
4	871	2613	8	60	15770	16279	21960	22860	1.996
# aa-floor members=4 bytes=871 seq_p50_a1=31531 seq_p50_a2=31460 spread=0.23%
8	871	6097	0	120	63100	63702	69290	71911	1.000
8	871	6097	1	60	62981	63526	69391	71060	1.002
8	871	6097	2	60	35680	36541	42600	49280	1.768
8	871	6097	4	60	27190	28579	35710	41300	2.321
8	871	6097	8	60	31290	33864	47840	48930	2.017
# aa-floor members=8 bytes=871 seq_p50_a1=63091 seq_p50_a2=63120 spread=0.05%
16	871	13065	0	120	128131	129131	135031	144901	1.000
16	871	13065	1	60	127691	129014	135850	140991	1.003
16	871	13065	2	60	87260	87870	93660	96300	1.468
16	871	13065	4	60	49770	50810	62011	65631	2.574
16	871	13065	8	60	43831	47976	62310	102970	2.923
# aa-floor members=16 bytes=871 seq_p50_a1=127081 seq_p50_a2=128421 spread=1.05%
40	871	33969	0	120	341472	344247	349841	358412	1.000
40	871	33969	1	60	341782	342988	349372	350592	0.999
40	871	33969	2	60	178811	184601	209051	215201	1.910
40	871	33969	4	60	109871	111111	122541	125720	3.108
40	871	33969	8	60	79290	82753	102390	110410	4.307
# aa-floor members=40 bytes=871 seq_p50_a1=341472 seq_p50_a2=341482 spread=0.00%
128	871	110617	0	120	1347417	1348618	1357718	1363248	1.000
128	871	110617	1	60	1344507	1346390	1354858	1356137	1.002
128	871	110617	2	60	625174	627749	647374	675573	2.155
128	871	110617	4	60	341392	340430	351362	352152	3.947
128	871	110617	8	60	222221	224766	259901	261392	6.063
# aa-floor members=128 bytes=871 seq_p50_a1=1347487 seq_p50_a2=1347407 spread=0.01%
2	4096	4096	0	120	33110	33473	34440	41820	1.000
2	4096	4096	1	60	33060	33625	37080	39150	1.002
2	4096	4096	2	60	19360	19616	20400	21010	1.710
2	4096	4096	4	60	19520	20273	28260	29320	1.696
2	4096	4096	8	60	19510	19873	20320	26670	1.697
# aa-floor members=2 bytes=4096 seq_p50_a1=33171 seq_p50_a2=33071 spread=0.30%
4	4096	12288	0	120	67040	67672	74241	76460	1.000
4	4096	12288	1	60	67311	68234	75490	76031	0.996
4	4096	12288	2	60	38190	38922	44460	47851	1.755
4	4096	12288	4	60	25101	26275	34010	38180	2.671
4	4096	12288	8	60	24760	25948	34430	37150	2.708
# aa-floor members=4 bytes=4096 seq_p50_a1=67180 seq_p50_a2=66931 spread=0.37%
8	4096	28672	0	120	143450	144361	150170	152701	1.000
8	4096	28672	1	60	143471	145615	151441	154270	1.000
8	4096	28672	2	60	76350	77588	83941	90950	1.879
8	4096	28672	4	60	49570	50868	62510	67330	2.894
8	4096	28672	8	60	46230	48855	72610	72750	3.103
# aa-floor members=8 bytes=4096 seq_p50_a1=142650 seq_p50_a2=143761 spread=0.78%
16	4096	61440	0	120	341992	342277	349802	358482	1.000
16	4096	61440	1	60	340082	340316	346962	350812	1.006
16	4096	61440	2	60	155740	160339	175401	210281	2.196
16	4096	61440	4	60	103971	103716	114980	115331	3.289
16	4096	61440	8	60	74981	76033	91070	93121	4.561
# aa-floor members=16 bytes=4096 seq_p50_a1=342922 seq_p50_a2=339822 spread=0.91%
40	4096	159744	0	120	1070506	1071352	1078256	1088896	1.000
40	4096	159744	1	60	1065916	1067454	1076406	1087896	1.004
40	4096	159744	2	60	469113	468937	476412	477582	2.282
40	4096	159744	4	60	247011	247456	269002	275572	4.334
40	4096	159744	8	60	158870	161442	178961	191051	6.738
# aa-floor members=40 bytes=4096 seq_p50_a1=1071595 seq_p50_a2=1069636 spread=0.18%
2	26698	26698	0	120	212101	213563	220361	224651	1.000
2	26698	26698	1	60	211201	212800	219881	221151	1.004
2	26698	26698	2	60	105810	107981	131331	146581	2.005
2	26698	26698	4	60	106351	107771	130530	137361	1.994
2	26698	26698	8	60	105911	106781	117321	132121	2.003
# aa-floor members=2 bytes=26698 seq_p50_a1=211941 seq_p50_a2=212781 spread=0.40%
4	26698	80094	0	120	524343	524182	535263	541893	1.000
4	26698	80094	1	60	524123	524400	534193	534693	1.000
4	26698	80094	2	60	224021	225301	233602	236301	2.341
4	26698	80094	4	60	146911	143790	161641	169041	3.569
4	26698	80094	8	60	145401	142811	160471	160591	3.606
# aa-floor members=4 bytes=26698 seq_p50_a1=524393 seq_p50_a2=524223 spread=0.03%
8	26698	186886	0	120	1204117	1208489	1238306	1266497	1.000
8	26698	186886	1	60	1201956	1203612	1217686	1237627	1.002
8	26698	186886	2	60	549673	548517	556123	559493	2.191
8	26698	186886	4	60	279832	282479	310361	313331	4.303
8	26698	186886	8	60	273821	237959	318072	323642	4.397
# aa-floor members=8 bytes=26698 seq_p50_a1=1206967 seq_p50_a2=1201617 spread=0.45%
16	26698	400470	0	120	2389803	2389157	2401193	2406673	1.000
16	26698	400470	1	60	2395743	2422879	2468303	2856666	0.998
16	26698	400470	2	60	1156186	1156747	1165856	1173957	2.067
16	26698	400470	4	60	598573	598521	614603	615673	3.993
16	26698	400470	8	60	324792	326949	349972	355882	7.358
# aa-floor members=16 bytes=26698 seq_p50_a1=2392053 seq_p50_a2=2388623 spread=0.14%
2	1893450	1893450	0	120	22653002	22645038	22752334	22786174	1.000
2	1893450	1893450	1	60	22537352	22553932	22708893	22720703	1.005
2	1893450	1893450	2	60	11291391	11289843	11356892	11369452	2.006
2	1893450	1893450	4	60	11269531	11275921	11332422	11365362	2.010
2	1893450	1893450	8	60	11262161	11269721	11337412	11345231	2.011
# aa-floor members=2 bytes=1893450 seq_p50_a1=22670533 seq_p50_a2=22634672 spread=0.16%
