leg	revision	shape	samples	p50_ns	mean_ns	p95_ns	p99_ns
a1	7e90bb800a43e116a021866c8b9215706deef684	tiny	200	118664	123539.215	145591	150957
a1	7e90bb800a43e116a021866c8b9215706deef684	medium	200	13148022	13178979.050	13550090	13952575
a1	7e90bb800a43e116a021866c8b9215706deef684	large	200	199462329	200504910.740	208654675	212407056
b1	b79fd0480fbbedb763e930a41c3349a196ff70d7	tiny	200	110793	115810.455	141165	153692
b1	b79fd0480fbbedb763e930a41c3349a196ff70d7	medium	200	12066452	12167479.355	12891573	13310370
b1	b79fd0480fbbedb763e930a41c3349a196ff70d7	large	200	183082635	183527234.630	188280783	193119091
b2	b79fd0480fbbedb763e930a41c3349a196ff70d7	tiny	200	108194	113779.150	132282	154293
b2	b79fd0480fbbedb763e930a41c3349a196ff70d7	medium	200	12219172	12362270.330	12970992	13643629
b2	b79fd0480fbbedb763e930a41c3349a196ff70d7	large	200	183011778	183325744.055	188533492	194036394
a2	7e90bb800a43e116a021866c8b9215706deef684	tiny	200	118017	121983.895	135576	150157
a2	7e90bb800a43e116a021866c8b9215706deef684	medium	200	13150340	13221409.840	13605147	13788789
a2	7e90bb800a43e116a021866c8b9215706deef684	large	200	200196897	200788995.505	205655104	212615764
