leg	revision	shape	samples	p50_ns	mean_ns	p95_ns	p99_ns
a1	c51bb95c8fb1daa206ae969b84541563db9d6266	tiny	300	110311	115865.987	140455	169283
a1	c51bb95c8fb1daa206ae969b84541563db9d6266	medium	300	12096698	12158047.180	12637360	13308346
a1	c51bb95c8fb1daa206ae969b84541563db9d6266	large	300	180767634	181981288.470	190312884	194043981
b1	478bd9b2a05983ba7573e7c6454b23d5190d1f05	tiny	300	101776	104995.583	116700	132053
b1	478bd9b2a05983ba7573e7c6454b23d5190d1f05	medium	300	11429382	11543190.180	12046323	13938314
b1	478bd9b2a05983ba7573e7c6454b23d5190d1f05	large	300	170530492	171139649.500	177018520	181391181
b2	478bd9b2a05983ba7573e7c6454b23d5190d1f05	tiny	300	103458	116897.623	149176	155684
b2	478bd9b2a05983ba7573e7c6454b23d5190d1f05	medium	300	11442730	11528681.657	12041205	12575913
b2	478bd9b2a05983ba7573e7c6454b23d5190d1f05	large	300	170733417	171007425.713	175369745	177114589
a2	c51bb95c8fb1daa206ae969b84541563db9d6266	tiny	300	108932	113332.730	126852	149282
a2	c51bb95c8fb1daa206ae969b84541563db9d6266	medium	300	12048960	12089779.540	12602474	12879908
a2	c51bb95c8fb1daa206ae969b84541563db9d6266	large	300	179762173	180364671.093	184791960	189687444
